edad,horas_ejercicio_semanal,calorias_diarias,horas_sueno,pasos_diarios
21.43,5.42,2426.63,7.39,12695.49
20.46,6.93,2442.03,7.83,13507.98
18.36,5.7,2629.49,7.69,10777.38
16.04,5.64,2544.66,7.62,6754.34
24.96,5.14,2425.74,7.35,12941.8
22.26,6.38,2527.08,7.67,9803.42
17.36,7.86,2260.61,7.44,8368.79
17.34,5.04,2453.72,7.71,6901.81
20.79,6.02,2644.26,7.28,13465.17
28.01,7.27,2370.56,7.42,12231.51
21.07,5.93,2285.57,7.05,11593.82
16.59,6.41,2311.97,7.48,14500.24
21.12,5.04,2252.9,7.14,13147.18
21.02,6.39,2294.06,7.0,14909.34
12.29,5.83,2349.98,7.62,9493.08
21.8,6.89,2210.25,7.6,11937.81
21.17,7.07,2402.11,7.85,9089.92
24.51,8.33,2521.81,7.31,11587.11
28.66,6.52,2277.45,7.68,11552.49
26.06,6.29,2605.1,7.75,13127.9
21.03,6.17,2468.96,7.7,12082.01
18.02,5.68,2539.13,7.13,13122.13
31.26,6.3,2311.19,7.57,13266.19
22.21,5.73,2515.36,7.66,15878.87
22.05,6.15,2252.59,7.5,11432.47
21.91,7.19,2520.18,6.56,10306.16
22.71,5.09,2423.2,7.57,12442.95
21.48,7.03,2474.69,8.5,10555.9
19.93,7.19,2241.29,7.34,14667.53
20.03,5.89,2279.17,7.17,11490.21
21.88,4.09,2480.63,7.67,10981.96
20.04,5.45,2271.97,7.64,11151.63
19.43,7.17,2462.53,8.04,13293.15
22.38,5.98,2215.44,6.93,11716.06
21.08,5.1,2514.5,7.83,10845.0
27.41,5.55,2233.61,7.77,14997.63
12.46,6.76,2474.56,7.44,10458.89
25.93,6.49,2484.46,7.65,12064.02
26.49,5.78,2305.94,7.96,13174.15
14.54,5.67,2478.57,7.89,9063.6
20.77,5.65,2435.16,6.99,12864.47
20.66,5.17,2327.26,7.87,10100.81
16.93,7.45,2263.85,7.47,13481.01
19.2,5.71,2135.05,7.53,10267.23
18.0,7.1,2447.2,7.53,13246.98
28.31,7.37,2188.75,7.43,13990.5
25.37,6.9,2412.87,8.04,13550.59
26.58,5.61,2364.43,7.46,12452.37
24.6,6.36,2491.68,7.0,11583.66
17.94,5.98,2359.22,7.32,10962.44
20.11,5.19,2355.52,7.58,14647.86
23.76,6.29,2498.8,8.05,10740.91
17.6,4.94,2445.23,7.77,10133.28
24.57,7.07,2442.68,7.12,13197.66
21.13,5.58,2463.35,8.62,10566.95
20.65,6.18,2192.7,7.62,10289.89
24.56,6.25,2502.17,8.07,9401.51
23.6,5.77,2482.68,7.43,11130.76
20.7,6.53,2262.75,7.74,11851.11
26.17,5.57,2367.05,7.88,12437.57
18.11,6.78,2394.69,8.05,13712.35
24.22,4.79,2381.84,7.98,12948.42
24.14,6.11,2445.07,7.89,11656.43
20.89,7.75,2593.23,7.36,11643.25
23.17,5.1,2546.04,7.24,12918.28
17.5,5.39,2222.85,7.65,14290.63
25.33,6.46,2483.98,7.92,12227.37
21.33,6.16,2579.41,7.4,11155.56
20.12,6.32,2452.22,7.98,10212.84
25.78,6.44,2547.28,8.15,9398.63
19.46,6.57,2671.66,7.09,13199.29
16.93,7.0,2538.2,7.12,13040.36
16.4,6.37,2433.66,7.44,13039.25
24.18,5.78,2541.09,7.64,11768.41
17.39,6.61,2419.56,7.26,14532.48
28.32,7.71,2403.23,8.11,11128.59
14.51,5.88,2352.56,7.69,13719.48
28.11,5.12,2611.06,7.52,11930.26
22.76,7.0,2289.51,6.85,10904.97
21.65,5.89,2606.87,6.91,13066.55
20.04,4.04,2467.48,7.63,12737.35
23.44,6.76,2211.09,6.54,12642.55
21.86,5.52,2449.63,7.96,12146.3
25.97,5.92,2116.5,7.43,11931.79
22.41,6.3,2484.44,8.96,16299.07
22.54,6.17,2519.51,8.54,14131.66
20.69,6.64,2320.03,7.42,13301.09
21.79,5.61,2416.68,7.45,12201.24
23.11,6.46,2663.81,7.95,13812.88
15.84,5.77,2331.72,8.27,12932.39
17.15,6.66,2257.05,6.76,12047.17
24.68,6.55,2600.02,6.7,11453.58
22.62,5.16,2664.95,7.22,11854.35
21.34,6.98,2400.5,7.76,6293.23
22.07,5.52,2536.55,7.72,12379.08
23.25,6.73,2581.1,7.98,11120.74
20.06,6.33,2299.76,6.96,14866.81
19.2,7.65,2334.48,6.46,12034.82
22.71,5.8,2566.17,7.89,9859.87
18.48,5.69,2627.48,7.13,11910.22
23.47,5.98,2475.99,6.59,10116.98
15.87,5.73,2281.23,7.57,12852.13
25.7,6.72,2668.25,7.86,12523.71
23.7,4.55,2328.32,7.45,13724.11
22.92,5.05,2354.76,7.29,10576.41
25.54,5.04,2446.22,7.43,12061.21
28.0,6.86,2609.81,7.33,9542.96
25.65,7.54,2515.29,6.89,13262.69
15.37,5.91,2456.01,7.18,12933.97
17.39,5.85,2462.54,7.73,12892.45
19.75,6.06,2405.87,7.64,12002.91
22.09,7.05,2475.35,7.58,12746.59
23.86,5.17,2058.51,7.05,14887.81
19.39,6.21,2359.96,7.42,11486.83
22.67,6.88,2432.58,6.52,12249.56
19.28,6.45,2244.61,7.58,10044.97
19.8,6.17,2452.15,8.14,10437.13
16.94,6.9,2372.4,6.84,12176.06
18.68,3.57,2636.99,7.24,13987.08
17.13,6.61,2612.36,7.65,11538.69
18.49,5.41,2337.12,8.06,11575.35
25.79,4.35,2379.64,7.3,11267.61
18.58,6.46,2390.02,7.19,11037.44
31.48,7.24,2339.03,6.61,12530.95
23.78,5.88,2426.33,7.55,9304.94
22.67,6.86,2297.63,8.42,14305.69
18.91,7.45,2247.37,7.62,10802.24
24.52,7.18,2484.07,7.49,13299.43
19.93,7.48,2484.99,7.64,9714.0
22.44,6.67,2291.42,7.5,13203.91
31.22,6.07,2520.87,7.13,13209.5
21.65,4.56,2314.74,7.87,12691.56
26.14,5.78,2434.18,7.6,10210.03
19.47,5.24,2510.75,7.51,12449.19
21.87,7.95,2395.46,7.06,9870.5
28.37,5.84,2461.39,8.09,11545.03
19.74,6.11,2330.28,7.8,13852.94
28.52,6.5,2373.48,7.25,13434.06
24.55,6.04,2372.21,7.95,12027.33
19.98,7.53,2299.21,7.28,10245.35
24.28,5.44,2376.14,7.15,13162.06
25.5,6.18,2190.94,7.16,12034.89
24.24,5.33,2333.69,6.7,7823.43
16.35,4.81,2361.54,7.71,13408.73
19.38,5.45,2365.42,6.68,11956.38
21.11,5.97,2367.4,6.95,14164.41
21.73,5.61,2391.66,6.57,10028.51
24.23,5.38,2464.72,7.46,6281.93
22.64,4.73,2518.06,7.43,12502.35
17.19,5.93,2312.28,7.35,12524.81
23.37,4.65,2237.57,7.03,8956.79
24.2,6.68,2259.32,6.97,10238.7
24.02,6.07,2334.23,7.71,16959.39
25.89,4.69,2352.49,7.25,11449.9
25.0,5.72,2296.05,7.64,13315.73
23.65,5.32,2225.02,7.1,10828.81
21.75,6.29,2338.42,7.58,8237.45
16.02,7.21,2424.49,8.09,11693.54
23.55,4.31,2480.33,7.76,11521.91
22.75,6.1,2324.75,7.31,11280.22
22.98,5.86,2344.25,7.62,11793.65
17.4,6.6,2274.9,7.39,12475.68
18.11,6.19,2395.76,7.5,11729.79
25.79,5.32,2285.46,7.35,9724.79
21.86,5.71,2477.37,7.43,12875.13
24.45,5.28,2158.91,7.6,8491.13
22.1,6.97,2351.45,7.05,8309.36
22.11,6.02,2440.65,7.04,13330.52
25.38,7.71,2424.82,6.88,12912.64
20.14,5.95,2763.56,6.78,11896.69
22.35,5.36,2447.22,6.95,9488.19
20.34,4.64,2264.45,7.57,10725.76
20.44,4.38,2387.11,7.1,11527.06
20.89,4.57,2160.21,7.73,9127.39
22.8,6.24,2389.12,7.52,10669.75
20.28,6.46,2287.54,6.61,13174.19
26.52,4.58,2523.58,7.79,14569.15
18.78,6.81,2325.81,7.86,11245.02
21.33,5.57,2384.24,7.05,13361.68
20.42,6.13,2314.2,7.69,8554.69
27.21,7.45,2634.74,7.11,13187.01
22.71,6.81,2356.63,7.54,10552.89
25.71,5.76,2647.4,6.93,12553.22
16.65,5.2,2509.91,6.69,11554.05
22.96,4.06,2465.08,7.33,14376.75
25.2,5.35,2449.78,7.44,10426.02
22.3,5.81,2453.16,7.32,13129.69
25.84,5.11,2139.76,6.97,11496.89
20.14,5.88,2362.35,7.32,11715.05
27.07,6.07,2514.1,7.62,11669.06
30.28,5.8,2393.4,7.48,10477.79
20.69,5.41,2210.3,7.58,11974.62
20.4,6.15,2392.93,7.2,11887.23
27.23,6.4,2630.05,8.03,12434.23
27.69,5.02,2568.33,6.97,12152.11
20.12,7.27,2391.63,7.72,13436.39
20.49,5.91,2528.45,8.03,13662.32
20.99,6.02,2350.52,7.72,10108.88
17.16,6.64,2169.98,7.41,13563.79
18.69,6.21,2275.2,7.26,9864.59
18.39,6.86,2610.99,7.97,13058.14
19.24,6.26,2363.01,6.86,13115.53
21.88,5.45,2367.14,7.06,8559.63
22.84,6.33,2359.52,7.32,12167.36
27.58,4.97,2657.06,8.06,11156.71
18.41,6.1,2619.5,7.67,10634.22
25.54,5.97,2699.54,7.06,14431.53
21.23,5.81,2378.53,7.36,10823.38
21.82,5.88,2439.91,7.22,10548.52
24.43,4.31,2195.25,7.18,12136.25
17.96,5.51,2599.39,7.94,13234.06
23.38,6.08,2242.35,6.88,11745.03
22.6,6.14,2429.26,8.22,14099.47
23.77,5.08,2251.86,7.87,12955.76
23.04,7.14,2320.5,7.99,8079.22
30.84,5.22,2286.97,7.29,11046.96
19.7,6.87,2317.94,7.43,10988.68
20.09,6.38,2327.22,6.86,12862.85
19.76,5.42,2325.98,7.26,7275.33
20.0,7.6,2512.5,7.72,16588.22
19.71,4.93,2250.84,8.08,12955.85
26.28,6.83,2429.77,7.0,12267.98
27.11,6.9,2564.42,7.34,14126.82
19.95,5.4,2330.72,7.43,16218.58
19.0,7.25,2303.08,6.87,13567.34
23.7,5.77,2368.88,7.77,13707.86
20.01,6.26,2559.26,7.17,12235.24
24.28,6.23,2426.2,7.41,11745.25
22.73,5.88,2328.29,7.3,11143.57
16.54,6.73,2465.32,7.14,10513.0
27.57,6.71,2251.19,7.5,10763.37
28.47,4.43,2491.98,7.4,9569.0
19.79,7.17,2455.16,7.33,11863.43
20.6,4.5,2358.45,7.17,8967.6
23.03,6.93,2286.79,7.64,12343.65
23.2,7.01,2280.3,8.24,11934.6
24.37,5.02,2472.2,7.56,12264.48
29.24,5.63,2565.91,7.95,11060.16
21.36,5.0,2313.96,6.87,17538.35
19.13,5.81,2461.88,7.57,14448.21
17.03,5.72,2118.25,7.01,9759.82
19.37,6.7,2321.08,6.84,12419.16
21.88,7.18,2395.81,7.17,10905.59
28.46,7.26,2277.19,8.04,10173.94
20.14,5.49,2273.57,7.93,9587.87
22.81,5.81,2309.85,7.61,12777.99
21.94,4.48,2439.45,6.81,10773.52
26.28,5.27,2374.71,7.41,13742.09
31.1,6.87,2097.84,7.64,13788.81
20.09,7.45,2113.71,7.58,14473.05
20.24,4.89,2318.07,6.67,10465.7
25.76,5.47,2461.79,7.1,12855.66
24.45,5.98,2029.09,7.47,13138.42
28.65,6.25,2332.54,7.74,11146.48
24.1,5.27,2328.96,6.51,10610.81
20.71,6.38,2587.43,7.43,14897.14
24.13,5.57,2348.02,7.56,12409.49
25.99,5.99,2451.7,7.88,13144.74
24.95,6.49,2419.07,7.81,10520.26
23.83,6.01,2112.37,7.76,9805.29
25.84,5.61,2503.71,7.14,10974.99
26.21,5.9,2429.08,6.64,11776.76
26.98,5.92,2468.62,7.32,10084.4
24.34,5.67,2930.04,7.95,11982.28
21.4,5.77,2118.64,8.13,8960.69
22.53,7.44,2632.83,7.82,9983.91
26.34,6.5,2361.19,7.69,13207.64
19.06,5.73,2438.79,7.67,13086.82
23.33,6.63,2393.86,7.25,11294.62
20.58,5.7,2342.73,7.44,10168.02
22.1,7.06,2323.07,8.25,10150.67
26.6,6.33,2444.48,7.08,11328.12
22.69,5.9,2195.18,8.23,13160.13
22.17,6.4,2501.33,7.36,13670.84
17.1,4.59,2343.81,8.1,11106.24
24.69,4.99,2247.44,6.87,9923.71
24.32,4.93,2339.25,7.76,12482.12
29.79,6.13,2569.72,7.17,10517.64
20.89,7.56,2327.73,6.86,11067.15
22.79,8.01,2448.39,7.6,14385.5
22.9,6.57,2301.32,7.95,13488.81
27.68,6.45,2502.32,7.12,12284.35
21.66,4.38,2492.54,6.83,9710.55
23.0,5.51,2649.56,7.46,12380.51
24.19,5.29,2376.3,7.46,13912.78
22.67,5.44,2490.27,7.75,11323.86
20.39,5.85,2413.24,7.93,14432.01
22.7,5.58,2574.94,7.47,14326.94
25.87,4.22,2302.96,8.33,14994.72
18.3,6.67,2500.58,7.6,12549.44
22.48,5.03,2373.72,7.34,13057.31
19.48,6.22,2391.33,6.77,14545.54
26.3,7.87,2412.39,7.38,12805.31
16.52,5.17,2434.05,7.35,11097.78
19.99,3.72,2384.31,7.93,11192.62
23.36,5.74,2428.99,7.71,12429.4
27.64,6.99,2613.05,6.97,9676.99
21.76,7.76,2533.04,7.58,11742.13
20.0,4.89,2517.34,7.8,13973.78
28.77,6.45,2338.5,8.19,8055.74
16.79,5.58,2279.95,7.9,14762.07
14.08,5.9,2528.97,7.84,14020.27
23.58,8.38,2518.27,7.53,11172.42
20.19,4.65,2598.81,7.67,12978.1
18.32,6.23,2318.46,8.06,12005.67
24.55,6.42,2369.01,6.9,14213.98
22.88,6.98,2178.67,7.34,13768.83
19.97,6.09,2347.02,7.15,9479.87
17.39,6.28,2534.54,7.67,13057.07
25.14,5.65,2337.02,8.05,11629.87
24.34,6.24,2486.46,7.23,12149.1
21.64,5.69,2374.28,6.42,10689.29
28.65,6.56,2443.75,7.31,15146.65
18.15,5.67,2245.06,7.91,13872.11
16.51,6.34,2411.5,7.74,10668.41
19.51,5.97,1996.2,7.69,9597.7
21.84,7.01,2374.77,7.37,11305.79
22.88,5.95,2179.89,6.92,12782.1
21.13,4.4,2562.81,7.73,12432.37
23.27,7.14,2504.95,7.12,14255.64
17.49,5.18,2463.0,8.48,13421.86
27.2,5.41,2605.34,7.76,13745.22
21.7,5.46,2271.9,7.24,12588.34
26.02,7.24,2635.89,7.22,9499.26
23.23,4.08,2525.85,7.46,11647.74
23.64,8.82,2368.07,7.39,13908.16
24.05,6.95,2553.31,8.0,11907.26
23.61,6.2,2250.65,7.58,12905.56
24.31,5.95,2288.69,7.17,11426.25
26.78,6.26,2317.84,8.35,10146.34
22.71,6.47,2328.59,7.52,11777.98
24.55,6.58,2257.36,7.85,12556.29
21.68,6.5,2565.12,7.23,10819.76
27.18,6.08,2365.05,7.66,11575.72
19.56,5.82,2447.59,7.64,10308.97
28.48,5.86,2323.0,6.65,14014.64
21.86,5.82,2154.22,8.41,11469.98
16.85,7.02,2436.46,8.08,14614.96
22.46,6.53,2141.85,7.32,14751.75
19.55,3.35,2390.73,7.0,11854.12
25.03,6.59,2215.28,7.66,10184.79
19.65,6.18,2668.28,7.54,8245.38
20.39,5.98,2523.03,7.66,9350.33
15.2,5.65,2414.28,7.59,9527.1
20.37,7.01,2570.6,7.73,14481.25
13.27,6.85,2285.75,8.15,12208.48
16.3,5.3,2473.37,7.76,12701.29
24.74,6.37,2426.97,7.03,8003.24
24.83,5.13,2435.64,8.11,9843.66
23.53,4.76,2571.77,8.24,13596.74
18.52,5.44,2498.89,8.92,12516.19
21.83,6.78,2438.98,6.99,11735.03
21.99,6.86,2176.59,7.61,13016.72
17.83,6.46,2270.39,6.56,14944.44
27.41,6.65,2383.43,7.75,11602.12
25.16,6.46,2412.61,7.25,12124.87
21.2,5.42,2247.42,8.37,12346.67
22.1,6.39,2725.58,7.15,16305.8
22.75,6.72,2604.71,6.74,8221.16
14.65,6.68,2481.29,7.29,13229.8
21.11,7.07,2409.72,6.61,11793.36
19.54,6.64,2371.35,7.84,13020.19
18.39,6.32,2271.49,6.57,10816.73
20.99,6.96,2410.46,7.51,11911.86
28.47,5.98,2434.8,6.56,13280.54
24.31,5.21,2232.36,7.36,17603.24
19.94,5.85,2445.11,8.24,13454.47
24.06,5.33,2379.04,7.66,10473.48
28.3,1.89,2917.78,6.48,9530.8
28.19,2.37,2533.35,6.25,10146.83
22.82,2.06,2907.21,6.41,8997.38
28.68,2.45,2764.94,6.86,4115.0
32.93,2.79,2906.12,7.14,7689.16
24.9,3.84,2916.54,6.79,5688.58
34.19,2.68,3041.19,6.55,7594.79
31.95,1.41,3003.02,7.25,9960.01
27.06,4.14,3001.99,6.34,8610.3
29.43,2.16,3016.55,7.02,10296.18
36.39,2.94,2843.71,6.36,8683.51
32.93,3.45,2804.83,6.72,5403.35
30.04,3.2,2930.92,6.44,2958.31
29.05,4.09,2909.81,6.47,8297.62
30.31,3.48,2753.64,6.31,7572.15
27.95,2.14,2860.72,7.17,6046.11
21.58,5.18,2794.74,6.13,4598.75
38.17,3.19,2671.91,6.13,6530.51
30.62,2.85,2993.57,7.56,7611.02
31.59,3.96,2808.28,6.99,9331.76
29.77,3.25,3107.31,5.31,8377.26
27.06,3.4,2556.18,6.22,11216.13
29.26,5.49,2716.48,5.59,5928.79
23.6,2.72,2804.9,6.02,9762.12
39.11,2.68,2970.61,4.93,8094.6
25.06,3.12,2859.92,6.43,9389.34
25.87,4.07,2846.57,5.93,7126.97
28.24,1.49,2630.91,6.53,10143.36
35.15,1.03,2626.46,5.69,8590.45
30.06,2.41,2848.38,6.54,6641.11
25.06,1.37,2595.38,6.29,7975.95
35.02,2.58,2720.22,7.25,7520.89
32.92,3.5,2875.14,7.21,8978.36
32.15,2.11,2652.65,6.89,5640.45
32.86,1.57,3040.8,6.34,7941.3
39.58,3.07,2983.59,7.49,8790.61
38.74,3.86,2564.29,5.72,8066.05
27.25,1.31,2660.14,5.8,10693.88
36.5,3.82,2457.13,6.46,9548.05
31.53,3.82,2682.61,7.63,7985.04
32.0,3.95,2914.96,6.4,8433.38
23.23,4.22,2737.92,6.41,8591.33
29.32,5.2,2869.12,5.78,8806.6
26.75,2.64,2571.65,6.97,4348.68
33.31,3.11,2919.7,6.98,7396.95
34.28,2.58,2716.73,6.89,5031.12
21.7,3.0,2801.83,6.19,10556.56
29.91,4.53,2786.07,6.15,7878.3
34.49,1.65,2609.27,5.85,7613.32
29.25,2.14,2627.04,6.54,9793.59
32.92,4.38,2945.17,5.96,8844.65
31.4,4.02,2859.85,5.91,5742.73
31.37,2.64,2957.51,6.29,7858.19
28.91,3.85,2848.7,6.26,7329.67
25.13,3.34,2821.45,6.23,4510.93
25.51,4.5,2541.1,6.73,6619.45
32.84,3.07,2759.44,6.54,7632.92
30.08,4.03,2795.89,6.36,7770.1
29.45,5.64,3092.97,6.59,5035.54
28.3,3.6,2903.04,6.0,10303.33
28.78,3.05,3030.41,6.55,7795.79
34.19,3.72,2889.63,6.58,8075.11
28.66,2.63,2693.3,5.75,8801.28
24.64,5.39,2817.57,7.0,6423.85
32.97,3.18,2835.43,6.06,8912.71
29.18,2.73,2659.13,6.55,7265.85
30.13,2.16,2742.34,7.08,6206.83
36.43,4.1,2769.13,6.96,9146.89
29.92,3.87,3040.84,6.52,10983.35
31.16,2.5,2487.89,6.32,9449.66
25.28,3.58,2980.87,6.97,9845.96
29.12,1.49,2659.48,6.84,6958.74
32.44,3.18,2594.19,6.19,4804.76
23.78,3.45,2976.99,6.1,10980.28
30.8,4.71,2909.78,5.46,12109.03
30.4,2.23,2988.18,6.58,11085.61
30.17,1.72,2920.11,6.46,7328.43
34.15,2.1,3108.98,7.07,5690.73
31.34,1.66,2883.81,6.68,5868.63
35.91,4.34,2776.53,7.17,4632.53
26.03,4.55,2851.44,6.15,7785.24
30.54,3.32,2986.52,7.07,11211.36
30.34,4.22,2683.09,6.24,7716.67
25.72,3.13,2702.22,6.89,8604.65
33.83,2.9,2753.66,5.77,10751.19
39.3,2.67,2484.31,6.62,7191.81
29.93,2.69,2820.71,5.51,12071.06
32.02,1.45,2517.08,6.37,11984.19
30.34,3.26,2807.96,6.72,7737.78
27.15,2.96,2929.79,6.24,6844.93
22.72,3.75,2728.47,5.97,9394.48
27.18,3.09,3051.57,6.92,7304.95
24.43,2.84,2580.92,6.45,5686.89
36.82,2.13,2978.69,6.26,10562.48
29.54,3.07,2901.27,6.52,10432.89
28.62,3.74,2542.6,7.82,8311.02
33.56,1.86,3206.62,7.08,5474.27
25.51,3.09,2790.44,7.08,5540.95
26.93,3.23,2668.38,6.72,8214.46
30.27,2.28,2588.94,6.58,7000.26
34.12,2.41,2767.0,5.3,7317.81
32.01,3.23,2780.89,6.16,10043.93
30.99,1.87,2815.4,6.26,9466.36
30.31,3.35,2755.33,5.56,10756.29
31.6,2.1,2894.98,5.92,6018.75
30.81,4.06,2741.86,5.51,7313.62
25.88,5.34,2509.76,6.48,9517.96
30.18,2.14,2777.6,6.91,8896.16
25.71,3.53,2444.88,7.05,11064.76
30.32,2.27,2853.07,6.71,8841.07
28.08,4.04,2653.1,6.02,11696.22
40.16,1.73,2824.5,5.53,9080.04
29.84,3.48,2997.11,5.62,10124.33
24.38,2.13,2657.69,5.87,7352.97
29.46,2.79,2959.19,6.06,8028.57
32.08,1.97,2734.99,6.42,9821.89
36.69,3.82,3062.98,5.99,11225.96
27.64,2.16,2745.23,6.67,9458.47
23.67,3.55,2673.93,6.38,7833.66
33.27,2.66,2903.09,6.51,10754.67
24.48,2.89,2734.63,7.07,3616.04
28.26,3.15,2673.78,5.91,5155.53
28.97,2.24,2728.32,6.71,9363.27
29.72,3.21,2793.31,6.49,8028.22
32.76,4.53,3001.33,6.33,9211.03
27.27,2.22,2509.89,6.94,8128.82
28.91,4.17,2803.46,6.94,9141.89
29.94,4.5,2893.74,6.03,6371.19
30.6,2.18,2829.02,6.41,9140.97
30.39,1.54,2996.48,6.64,9988.83
31.74,3.3,2788.85,6.36,10441.1
33.38,2.45,2772.32,6.79,12027.11
31.57,4.87,2888.85,6.64,8488.2
31.81,3.03,2814.9,7.42,8547.82
23.67,2.2,2741.44,5.73,4953.66
30.2,1.85,2877.42,6.44,6937.18
31.92,4.09,2702.12,6.05,7613.84
32.92,2.43,2708.32,6.8,10100.64
27.23,3.04,2720.8,5.69,6778.0
27.36,3.96,3002.96,6.67,9592.68
27.7,2.52,2316.85,6.18,7996.76
32.15,2.95,2859.34,6.13,7645.66
34.14,2.98,2805.14,5.78,8497.79
28.37,3.68,2547.87,6.27,7217.69
33.63,3.59,2846.46,7.04,7141.93
30.49,2.78,2871.36,6.49,4590.43
29.5,3.06,2888.45,6.81,7504.09
29.15,2.63,2402.23,7.33,7040.06
32.99,1.52,3004.96,6.63,6968.04
31.3,3.26,2689.34,6.22,8833.75
39.1,4.89,2902.99,6.73,9317.26
26.59,2.12,2911.16,6.23,8464.39
32.07,2.23,2668.5,6.25,9990.83
27.88,2.13,2899.07,5.74,9151.12
26.52,3.72,2742.18,6.96,7409.89
29.96,3.45,2489.29,6.31,7074.29
30.55,2.84,2975.16,6.59,8625.64
41.67,2.08,2683.74,5.98,9147.53
29.26,3.09,2671.83,6.72,10795.69
25.48,1.44,2739.54,6.12,10382.35
31.09,3.14,2840.84,6.43,6917.05
21.7,3.87,2791.41,6.94,7795.99
29.63,1.75,2882.21,6.9,9342.04
30.06,1.47,2599.08,6.49,10136.0
33.18,4.58,2688.64,5.62,9877.94
33.89,2.39,2782.6,8.0,7872.24
27.99,4.14,3084.68,7.37,5491.95
29.4,2.85,2782.93,6.86,6002.13
26.94,2.84,2962.78,6.12,8545.27
25.49,3.44,2805.78,6.44,8684.45
31.24,2.12,2727.45,6.23,5802.64
24.91,3.13,2762.99,7.13,8089.14
28.34,2.62,2774.74,6.63,9262.45
26.02,1.68,2890.55,6.11,5697.55
32.2,3.34,3006.19,6.26,10209.99
37.21,2.74,2853.95,7.06,7244.94
24.79,2.84,2978.06,7.3,10515.23
22.59,1.79,2655.28,7.26,6933.1
29.5,4.59,2737.81,6.88,5946.75
30.06,3.88,2691.35,6.37,7083.73
30.87,3.96,2847.17,4.88,7809.7
28.21,2.69,2746.16,6.65,7223.04
29.2,1.27,2909.47,6.5,7568.0
31.47,4.95,2660.35,6.57,8667.93
34.16,2.94,2806.45,6.53,7657.64
22.18,2.25,2903.03,5.84,7867.78
28.52,3.42,2490.2,6.78,4581.55
30.86,4.17,3118.24,6.82,8783.4
26.33,2.98,2757.53,6.84,7821.59
36.92,4.28,2496.24,6.97,11220.59
27.46,4.08,2823.71,6.8,6120.87
29.83,1.92,2805.02,6.29,4383.41
32.22,2.33,2787.72,6.46,9236.14
27.63,3.96,2948.68,6.55,8693.05
22.61,0.29,2912.12,6.55,5983.13
28.29,2.85,2844.68,7.0,4940.5
34.12,1.57,2867.52,6.82,11074.79
28.65,2.52,2784.35,7.54,10828.22
26.61,2.7,3066.32,7.6,3025.09
33.7,2.64,2578.12,6.54,7083.55
28.68,2.45,2820.95,4.58,11328.38
27.96,1.9,2809.75,7.12,7047.87
30.6,5.29,2921.99,6.23,7018.78
33.08,4.87,2673.42,6.1,7434.48
39.53,1.84,2538.45,6.3,5758.21
33.31,4.58,2823.52,6.28,4590.45
34.64,2.6,2842.18,6.81,10105.09
27.98,3.13,3023.44,5.72,4314.13
25.9,2.94,2609.45,5.96,8494.54
30.25,2.34,2973.2,6.67,9773.16
30.43,3.98,3155.11,6.81,5097.55
25.69,3.13,2743.34,6.82,6151.46
29.3,2.52,2606.36,6.11,10426.36
31.6,1.7,2738.95,6.01,9065.78
31.44,2.11,2802.1,6.25,6765.43
32.02,1.36,2884.57,6.62,10404.5
31.16,3.01,2711.29,7.24,10413.07
27.97,1.8,3033.28,5.48,8538.11
27.94,2.73,2632.82,6.39,6199.68
25.2,4.37,2539.12,5.83,7173.1
37.14,4.2,2966.01,5.67,8572.77
30.05,2.97,2458.81,6.98,7622.81
29.1,2.91,2769.38,6.77,9877.91
26.28,4.88,3267.65,6.72,4940.45
41.74,3.52,2798.19,6.96,5011.47
25.71,2.67,2631.88,6.26,8361.74
28.28,1.57,2791.39,6.28,7016.91
31.66,3.39,2792.38,7.59,6745.9
32.4,3.83,2824.1,6.38,4463.89
33.83,2.37,2899.34,6.87,8039.09
37.23,3.29,2644.13,6.5,7894.49
32.02,2.64,3053.13,5.58,9306.96
25.78,2.82,2836.77,5.48,8137.81
28.97,0.51,2909.02,6.21,7734.79
31.23,2.78,2705.78,7.03,10354.0
38.27,3.97,2992.96,6.89,5375.07
24.41,2.37,2761.44,6.96,9072.78
34.81,3.05,2841.63,6.01,4657.71
30.72,2.24,2660.03,7.31,6323.28
33.35,3.36,2650.46,6.02,5574.69
29.59,2.78,2903.23,6.61,9563.89
26.63,2.06,2733.46,6.49,7869.18
33.0,4.33,2671.93,6.41,7972.99
32.62,3.93,2703.52,7.17,5786.53
33.89,2.4,2904.84,6.15,7400.61
29.95,3.5,2705.64,5.83,6473.07
27.6,3.54,2782.35,6.51,8766.91
23.76,3.64,2802.25,6.3,6017.82
33.28,1.31,2512.4,8.19,10659.59
31.7,4.01,2579.33,6.84,4648.84
26.14,2.43,2850.44,6.3,6386.96
27.85,2.64,2689.45,5.97,11354.4
28.13,5.64,2958.51,5.56,7129.72
24.07,3.3,2945.02,5.99,5370.24
26.73,2.61,2907.88,6.56,8438.14
25.46,0.79,3072.97,7.21,7049.22
28.35,4.39,2787.54,7.06,6328.26
27.05,1.65,2897.33,6.61,5808.26
23.49,2.0,2712.34,6.34,13536.75
38.09,2.67,3167.86,6.63,7496.9
35.01,4.42,3097.55,6.24,4148.87
26.88,3.77,2801.78,7.36,10987.42
31.09,2.84,2857.99,6.41,9222.14
31.67,3.31,3003.89,6.46,6467.07
34.76,2.4,2777.93,5.39,6133.76
26.73,3.14,2701.51,6.4,9346.95
