ID,Superficie_m2,Habitaciones,Baños,Antiguedad,Ubicacion,Estacionamientos,TieneTerraza,PrecioVenta
1267,175,6,4,71.0,Alta,1.0,Sí,74969.0
1268,85,5,4,53.0,Media,0.0,No,47006.0
1269,117,3,1,8.0,Media,0.0,Sí,30680.0
1270,142,1,2,42.0,Alta,2.0,No,57399.0
1271,117,5,3,54.0,Alta,0.0,Sí,89121.0
1272,88,3,2,79.0,Alta,1.0,No,28313.0
1273,112,2,3,52.0,Media,0.0,No,50699.0
1274,103,2,4,10.0,Alta,,Sí,110719.0
1275,149,2,2,,Media,3.0,Sí,89584.0
1276,127,2,3,24.0,Media,1.0,No,53893.0
1277,133,2,3,8.0,Media,1.0,No,47300.0
1278,69,1,4,55.0,Baja,0.0,No,44991.0
1279,101,4,3,65.0,Baja,1.0,No,317372.0
1280,138,2,1,20.0,Alta,1.0,Sí,44156.0
1281,117,3,2,7.0,Alta,3.0,No,81787.0
1282,140,6,1,43.0,Alta,1.0,Sí,60081.0
1283,130,1,4,79.0,Alta,2.0,Sí,65353.0
1284,144,1,2,25.0,Media,0.0,No,65730.0
1285,107,1,3,,Media,0.0,Sí,56918.0
1286,127,6,4,69.0,Media,3.0,Sí,81772.0
1287,122,4,4,19.0,Baja,2.0,Sí,45552.0
1288,152,1,1,25.0,Media,2.0,No,33694.0
1289,92,3,3,67.0,Baja,,No,77463.0
1290,185,4,3,64.0,Media,0.0,No,28712.0
1291,166,6,2,,Media,1.0,Sí,86357.0
1292,65,1,3,76.0,Alta,0.0,Sí,45741.0
1293,94,6,3,28.0,Media,0.0,No,45389.0
1294,60,4,3,8.0,Media,2.0,No,74697.0
1295,142,6,4,73.0,Alta,2.0,Sí,119861.0
1296,167,4,3,49.0,Media,2.0,Sí,59931.0
1297,88,6,1,71.0,Alta,2.0,Sí,22746.0
1298,80,4,1,64.0,Media,0.0,No,28169.0
1299,140,1,3,49.0,Alta,2.0,Sí,58262.0
1300,152,4,2,3.0,Media,1.0,Sí,47660.0
1301,121,2,3,45.0,Baja,1.0,No,37191.0
1302,173,6,1,61.0,Media,2.0,Sí,66412.0
1303,140,3,2,21.0,Media,2.0,No,44562.0
1304,104,4,2,8.0,Media,0.0,No,55786.0
1305,147,6,2,26.0,Media,3.0,Sí,103937.0
1306,129,5,2,79.0,Media,0.0,No,36298.0
1307,83,3,2,75.0,Alta,1.0,No,77237.0
1308,96,6,3,78.0,Alta,1.0,Sí,77404.0
1309,125,4,3,49.0,Alta,1.0,No,36232.0
1310,118,1,2,49.0,Alta,2.0,No,47853.0
1311,113,6,4,78.0,Alta,3.0,Sí,64366.0
1312,147,4,1,50.0,Media,,No,9934.0
1313,164,1,4,20.0,Media,2.0,No,37952.0
1314,72,1,1,2.0,Media,0.0,Sí,41657.0
1315,152,4,2,42.0,Media,2.0,No,45931.0
1316,124,1,4,7.0,Media,3.0,No,32470.0
1317,104,4,1,45.0,Alta,,No,66706.0
1318,159,1,4,10.0,Baja,0.0,No,30374.0
1319,127,2,4,24.0,Media,0.0,No,63352.0
1320,128,1,2,70.0,Baja,1.0,No,-10468.0
1321,136,1,3,21.0,Media,3.0,No,33770.0
1322,187,6,2,71.0,Alta,0.0,Sí,78407.0
1323,130,3,1,55.0,Media,2.0,Sí,28324.0
1324,191,1,1,14.0,Media,2.0,No,36149.0
1325,189,2,4,68.0,Baja,0.0,Sí,52624.0
1326,180,4,4,12.0,Media,3.0,Sí,29608.0
1327,135,2,4,18.0,Alta,0.0,Sí,67636.0
1328,178,1,1,23.0,Media,3.0,Sí,76618.0
1329,78,1,4,34.0,Media,3.0,No,72912.0
1330,125,1,3,66.0,Alta,2.0,Sí,83914.0
1331,117,5,2,37.0,Alta,,No,27989.0
1332,85,5,4,60.0,Media,0.0,No,33618.0
1333,101,2,1,33.0,Alta,1.0,Sí,48107.0
1334,114,2,2,5.0,Baja,0.0,Sí,88777.0
1335,151,1,2,14.0,Media,,Sí,46335.0
1336,61,2,1,15.0,Baja,2.0,Sí,22161.0
1337,132,1,2,74.0,Media,3.0,No,-8215.0
1338,92,4,3,56.0,Baja,3.0,Sí,62306.0
1339,121,1,1,53.0,Baja,3.0,No,-25508.0
1340,167,4,1,75.0,Baja,2.0,Sí,21169.0
1341,116,2,1,41.0,Alta,2.0,Sí,52897.0
1342,128,6,1,21.0,Baja,0.0,No,18269.0
1343,152,6,1,25.0,Alta,3.0,Sí,73662.0
1344,112,2,3,51.0,Baja,1.0,Sí,16605.0
1345,153,3,3,51.0,Baja,0.0,Sí,30507.0
1346,162,6,3,13.0,Media,,No,64715.0
1347,85,6,3,5.0,Media,1.0,Sí,61562.0
1348,180,6,1,18.0,Baja,0.0,No,62798.0
1349,133,2,1,20.0,Baja,3.0,Sí,35724.0
1350,54,2,1,55.0,Alta,0.0,Sí,24598.0
1351,143,1,3,58.0,Baja,3.0,Sí,42862.0
1352,189,6,4,57.0,Alta,0.0,Sí,108548.0
1353,150,2,4,61.0,Baja,1.0,Sí,32962.0
1354,133,4,2,22.0,Media,2.0,Sí,66657.0
1355,69,2,2,27.0,Alta,3.0,No,43525.0
1356,187,4,1,7.0,Media,1.0,Sí,39339.0
1357,203,1,4,13.0,Media,2.0,Sí,7396.0
1358,53,1,3,55.0,Baja,3.0,Sí,14241.0
1359,144,5,3,65.0,Alta,3.0,No,29982.0
1360,88,6,3,34.0,Baja,0.0,Sí,77228.0
1361,153,2,2,2.0,Baja,2.0,Sí,46682.0
1362,68,1,4,3.0,Media,3.0,No,66625.0
1363,140,4,2,6.0,Media,0.0,Sí,71101.0
1364,90,2,3,29.0,Baja,,No,56302.0
1365,128,4,1,57.0,Media,1.0,No,-2231.0
1366,120,1,1,11.0,Media,3.0,Sí,53619.0
1367,151,3,2,57.0,Baja,0.0,Sí,31271.0
1368,83,3,1,10.0,Media,1.0,Sí,54167.0
1369,88,2,1,,Baja,3.0,No,995.0
1370,97,3,2,14.0,Alta,1.0,No,39003.0
1371,105,6,2,76.0,Alta,1.0,No,47645.0
1372,162,5,1,,Media,0.0,Sí,38890.0
1373,117,1,2,18.0,Alta,0.0,Sí,58638.0
1374,161,4,1,57.0,Baja,0.0,No,27329.0
1375,137,4,1,47.0,Alta,3.0,No,76639.0
1376,106,5,4,17.0,Media,3.0,Sí,95793.0
1377,95,5,3,70.0,Media,0.0,Sí,9418.0
1378,157,2,4,9.0,Alta,1.0,Sí,88144.0
1379,73,3,2,4.0,Media,1.0,No,66488.0
1380,98,5,1,12.0,Alta,2.0,Sí,68686.0
1381,101,1,2,46.0,Media,0.0,Sí,57034.0
1382,134,2,3,39.0,Media,2.0,No,40187.0
1383,186,5,3,,Alta,1.0,No,78782.0
1384,88,3,3,26.0,Baja,1.0,Sí,30446.0
1385,56,5,1,34.0,Media,2.0,No,37884.0
1386,132,1,3,20.0,Media,3.0,Sí,29475.0
1387,150,1,2,48.0,Media,1.0,Sí,18111.0
1388,123,6,2,74.0,Media,2.0,No,24071.0
1389,105,5,3,59.0,Alta,1.0,Sí,81508.0
1390,58,5,3,75.0,Media,3.0,No,53547.0
1391,84,5,2,64.0,Alta,1.0,No,72003.0
1392,108,4,3,17.0,Media,2.0,Sí,39557.0
1393,140,5,2,57.0,Baja,3.0,No,28986.0
1394,169,2,2,68.0,Media,1.0,Sí,29198.0
1395,149,6,3,41.0,Baja,1.0,Sí,47454.0
1396,91,2,3,13.0,Baja,2.0,No,48073.0
1397,116,3,3,39.0,Media,2.0,Sí,65134.0
1398,139,3,3,8.0,Alta,3.0,No,59678.0
1399,90,6,2,37.0,Media,2.0,Sí,65224.0
1400,104,2,1,64.0,Media,2.0,No,-7283.0
1401,119,5,1,15.0,Alta,2.0,Sí,78966.0
1402,206,3,4,51.0,Media,3.0,Sí,44599.0
1403,98,5,2,13.0,Media,3.0,Sí,69636.0
1404,114,1,2,68.0,Media,2.0,No,38808.0
1405,118,5,2,50.0,Media,1.0,No,30343.0
1406,96,6,2,24.0,Media,0.0,Sí,51240.0
1407,73,2,2,56.0,Media,0.0,No,-15188.0
1408,165,4,4,42.0,Baja,3.0,No,59186.0
1409,83,6,1,18.0,Alta,3.0,No,81654.0
1410,150,4,2,31.0,Baja,1.0,No,49370.0
1411,81,4,4,20.0,Alta,2.0,Sí,125020.0
1412,127,4,3,79.0,Baja,0.0,Sí,34812.0
1413,60,1,2,63.0,Media,2.0,Sí,35930.0
1414,123,4,2,72.0,Alta,1.0,Sí,72059.0
1415,107,3,2,27.0,Media,1.0,No,11044.0
1416,117,1,4,40.0,Media,0.0,No,31564.0
1417,105,1,4,66.0,Media,0.0,No,14195.0
1418,93,5,3,18.0,Media,2.0,Sí,72318.0
1419,103,3,4,44.0,Media,3.0,Sí,28149.0
1420,104,1,2,67.0,Media,1.0,Sí,-16546.0
1421,193,1,1,33.0,Alta,,Sí,50375.0
1422,78,3,3,64.0,Baja,2.0,No,56800.0
1423,151,3,2,27.0,Alta,2.0,Sí,51276.0
1424,145,1,1,45.0,Media,3.0,Sí,30821.0
1425,87,6,1,68.0,Alta,,Sí,75617.0
1426,181,5,1,67.0,Media,0.0,No,34979.0
1427,103,1,2,76.0,Baja,2.0,Sí,3955.0
1428,129,1,3,,Alta,1.0,Sí,44122.0
1429,126,4,3,17.0,Baja,2.0,Sí,71030.0
1430,66,2,4,72.0,Media,2.0,No,43601.0
1431,150,3,3,79.0,Media,3.0,Sí,22630.0
1432,135,4,1,,Media,2.0,Sí,64259.0
1433,31,6,2,55.0,Media,1.0,Sí,60494.0
1434,61,3,4,68.0,Alta,3.0,No,82263.0
1435,146,6,2,45.0,Alta,0.0,No,31590.0
1436,158,2,1,70.0,Alta,3.0,Sí,8279.0
1437,167,2,4,28.0,Alta,,Sí,69054.0
1438,113,1,2,25.0,Baja,2.0,Sí,41622.0
1439,95,5,3,8.0,Media,2.0,Sí,69002.0
1440,87,4,3,42.0,Alta,3.0,No,67994.0
1441,162,3,3,52.0,Alta,3.0,Sí,44413.0
1442,118,6,3,58.0,Alta,3.0,No,83660.0
1443,102,2,1,13.0,Media,3.0,Sí,26992.0
1444,120,2,2,1.0,Media,1.0,No,79378.0
1445,111,2,4,7.0,Media,0.0,Sí,45753.0
1446,143,3,4,16.0,Baja,3.0,Sí,89668.0
1447,142,5,3,27.0,Baja,2.0,No,62588.0
1448,83,4,2,8.0,Media,3.0,Sí,58084.0
1449,103,5,1,16.0,Media,2.0,Sí,77785.0
1450,65,1,3,35.0,Media,0.0,No,83127.0
1451,145,2,1,61.0,Baja,3.0,Sí,37898.0
1452,114,6,4,31.0,Baja,,No,59992.0
1453,161,6,3,21.0,Alta,1.0,Sí,59085.0
1454,137,4,3,9.0,Alta,1.0,Sí,63866.0
1455,106,6,3,50.0,Baja,1.0,Sí,91611.0
1456,74,1,3,41.0,Media,1.0,Sí,34195.0
1457,148,3,2,73.0,Baja,0.0,Sí,85575.0
1458,174,5,4,61.0,Alta,2.0,Sí,75763.0
1459,60,4,4,78.0,Alta,2.0,Sí,86066.0
1460,137,4,1,45.0,Baja,2.0,Sí,40700.0
1461,210,4,1,21.0,Baja,3.0,No,5622.0
1462,76,6,3,6.0,Alta,0.0,Sí,95873.0
1463,103,6,1,60.0,Alta,0.0,Sí,38941.0
1464,86,4,3,2.0,Media,2.0,Sí,59519.0
1465,132,4,3,61.0,Baja,2.0,Sí,54009.0
1466,98,4,1,31.0,Media,1.0,Sí,42339.0
1467,153,2,3,61.0,Alta,,Sí,67315.0
1468,174,2,4,66.0,Alta,0.0,No,42597.0
1469,69,5,4,57.0,Media,0.0,Sí,54578.0
1470,95,5,3,56.0,Alta,3.0,Sí,81988.0
1471,109,5,1,33.0,Media,1.0,Sí,81586.0
1472,177,4,4,70.0,Baja,2.0,Sí,12066.0
1473,130,3,2,48.0,Media,,No,23439.0
1474,145,6,4,41.0,Alta,2.0,No,106485.0
1475,40,4,1,54.0,Media,3.0,Sí,36250.0
1476,194,6,1,7.0,Alta,3.0,No,68241.0
1477,145,4,4,38.0,Alta,0.0,Sí,77599.0
1478,126,6,1,72.0,Baja,,Sí,21525.0
1479,102,5,4,62.0,Media,2.0,Sí,73716.0
1480,100,3,4,47.0,Baja,3.0,Sí,28885.0
1481,138,1,3,59.0,Media,0.0,Sí,36422.0
1482,130,4,3,31.0,Baja,0.0,Sí,38987.0
1483,113,5,3,73.0,Alta,3.0,Sí,108859.0
1484,95,3,2,,Media,1.0,Sí,28090.0
1485,135,6,4,31.0,Media,2.0,Sí,76350.0
1486,113,1,1,59.0,Alta,1.0,Sí,56428.0
1487,79,1,3,58.0,Media,2.0,Sí,29440.0
1488,88,5,1,43.0,Baja,3.0,Sí,48344.0
1489,132,3,1,38.0,Media,0.0,No,209716.0
1490,91,6,1,73.0,Baja,3.0,No,24284.0
1491,75,2,4,59.0,Alta,1.0,No,34191.0
1492,96,3,2,71.0,Alta,2.0,Sí,51666.0
1493,146,5,2,48.0,Baja,2.0,Sí,56971.0
1494,202,1,1,6.0,Alta,3.0,Sí,36524.0
1495,216,3,1,52.0,Media,3.0,No,18869.0
1496,54,1,2,14.0,Alta,3.0,No,55907.0
1497,203,1,4,21.0,Alta,,No,88240.0
1498,144,2,4,13.0,Media,0.0,Sí,49719.0
1499,102,1,4,66.0,Alta,1.0,No,70873.0
1500,92,5,1,78.0,Media,2.0,Sí,57487.0
1501,159,5,3,35.0,Baja,0.0,Sí,64401.0
1502,162,4,1,28.0,Media,0.0,No,46632.0
1503,177,4,1,51.0,Alta,2.0,Sí,76146.0
1504,84,5,4,27.0,Baja,1.0,Sí,35013.0
1505,78,4,4,47.0,Media,3.0,Sí,62797.0
1506,147,1,3,43.0,Baja,0.0,No,-17330.0
1507,89,4,3,3.0,Media,1.0,No,50562.0
1508,89,5,2,40.0,Media,0.0,Sí,55426.0
1509,138,6,3,36.0,Media,3.0,No,16373.0
1510,12,1,1,60.0,Media,1.0,No,22895.0
1511,75,6,1,23.0,Media,3.0,No,47217.0
1512,183,2,2,6.0,Media,2.0,Sí,75547.0
1513,143,3,4,7.0,Media,1.0,Sí,39399.0
1514,62,3,4,22.0,Media,3.0,Sí,38317.0
1515,146,3,2,27.0,Alta,3.0,Sí,83710.0
1516,107,3,3,42.0,Media,2.0,Sí,50184.0
1517,75,3,1,51.0,Media,2.0,No,21970.0
1518,66,1,2,16.0,Media,1.0,Sí,36002.0
1519,98,3,1,59.0,Media,2.0,Sí,31156.0
1520,132,3,2,10.0,Media,3.0,Sí,56782.0
1521,171,5,2,35.0,Media,3.0,Sí,45707.0
1522,108,5,2,5.0,Media,0.0,Sí,53356.0
1523,84,1,3,37.0,Alta,0.0,Sí,12261.0
1524,121,4,3,44.0,Media,1.0,Sí,59918.0
1525,83,3,4,56.0,Baja,2.0,Sí,34623.0
1526,127,1,1,36.0,Alta,0.0,Sí,63099.0
1527,90,3,4,62.0,Alta,0.0,No,56822.0
1528,151,6,4,35.0,Alta,3.0,Sí,98041.0
1529,115,3,2,72.0,Baja,0.0,Sí,-431.0
1530,132,5,1,10.0,Alta,3.0,No,19772.0
1531,133,5,4,76.0,Media,0.0,No,55994.0
1532,145,3,1,2.0,Alta,2.0,No,103150.0
1533,95,5,3,58.0,Media,1.0,No,90674.0
1534,166,2,1,1.0,Alta,3.0,Sí,66460.0
1535,136,1,4,18.0,Media,2.0,Sí,51896.0
1536,190,5,4,74.0,Baja,3.0,No,43318.0
1537,94,1,2,66.0,Alta,1.0,No,42891.0
1538,171,4,1,24.0,Baja,0.0,Sí,-3274.0
1539,111,6,2,34.0,Alta,0.0,Sí,91144.0
1540,112,6,2,47.0,Media,1.0,Sí,67524.0
1541,23,3,3,33.0,Alta,0.0,Sí,78284.0
1542,114,3,1,30.0,Media,1.0,No,53672.0
1543,159,6,2,32.0,Alta,3.0,No,97619.0
1544,146,1,1,79.0,Media,1.0,Sí,21679.0
1545,82,6,2,65.0,Media,,Sí,62358.0
1546,116,6,3,,Media,2.0,Sí,42537.0
1547,139,2,2,18.0,Media,1.0,Sí,20123.0
1548,93,1,2,61.0,Baja,2.0,No,6285.0
1549,197,2,4,21.0,Media,3.0,No,57315.0
1550,188,3,3,47.0,Media,3.0,Sí,47820.0
1551,161,4,1,60.0,Baja,1.0,Sí,5185.0
1552,110,4,2,39.0,Baja,2.0,No,53554.0
1553,192,5,4,7.0,Alta,3.0,No,53353.0
1554,218,3,4,71.0,Media,,Sí,70395.0
1555,94,4,4,10.0,Alta,1.0,Sí,103172.0
1556,175,2,3,48.0,Baja,1.0,No,35611.0
1557,47,1,3,38.0,Alta,3.0,Sí,64192.0
1558,129,3,2,59.0,Baja,3.0,No,4936.0
1559,145,5,2,57.0,Alta,0.0,Sí,25904.0
1560,69,2,4,50.0,Media,3.0,Sí,25281.0
1561,166,5,1,31.0,Media,1.0,Sí,52772.0
1562,92,1,1,3.0,Alta,1.0,No,75894.0
1563,89,2,4,76.0,Baja,0.0,Sí,40590.0
1564,103,4,2,13.0,Media,1.0,No,54539.0
1565,125,6,4,29.0,Media,0.0,Sí,82342.0
1566,184,6,2,52.0,Media,2.0,Sí,82761.0
1567,156,5,4,64.0,Baja,0.0,No,59098.0
1568,85,3,2,65.0,Alta,2.0,No,57989.0
1569,162,4,1,67.0,Media,,Sí,37031.0
1570,105,1,1,6.0,Media,2.0,No,43369.0
1571,85,6,4,34.0,Baja,0.0,No,51019.0
1572,91,2,2,22.0,Media,3.0,No,17112.0
1573,107,1,1,70.0,Alta,1.0,Sí,5028.0
1574,72,1,2,50.0,Alta,2.0,Sí,51239.0
1575,76,3,1,36.0,Baja,0.0,No,36459.0
1576,85,2,2,1.0,Baja,2.0,No,71875.0
1577,116,3,3,3.0,Media,,Sí,74041.0
1578,165,4,3,28.0,Baja,1.0,No,73269.0
1579,166,2,1,6.0,Media,2.0,No,51556.0
1580,158,1,2,0.0,Baja,0.0,No,16156.0
1581,136,5,4,12.0,Alta,0.0,Sí,80542.0
1582,147,4,4,37.0,Media,1.0,Sí,42078.0
1583,216,2,1,16.0,Media,0.0,No,35834.0
1584,111,2,1,37.0,Media,2.0,No,32219.0
1585,127,3,1,57.0,Media,0.0,No,37457.0
1586,68,5,4,7.0,Media,0.0,Sí,62687.0
1587,131,3,3,47.0,Media,2.0,Sí,12527.0
1588,179,3,1,29.0,Media,3.0,No,91270.0
1589,128,3,4,41.0,Media,,Sí,49626.0
1590,115,3,1,73.0,Media,2.0,Sí,5851.0
1591,169,5,1,66.0,Baja,3.0,Sí,21460.0
1592,105,2,3,10.0,Baja,2.0,No,48073.0
1593,120,3,3,55.0,Media,3.0,No,51732.0
1594,227,6,4,42.0,Alta,2.0,Sí,82111.0
1595,159,1,1,4.0,Alta,2.0,Sí,70557.0
1596,112,1,2,76.0,Baja,0.0,No,-13903.0
1597,120,2,3,,Baja,2.0,Sí,27950.0
1598,55,6,1,78.0,Media,2.0,No,46843.0
1599,154,6,3,38.0,Media,0.0,No,55819.0
1600,65,3,3,6.0,Media,2.0,No,59591.0
1601,103,2,3,72.0,Media,1.0,Sí,52416.0
1602,132,2,3,46.0,Media,2.0,Sí,59598.0
1603,87,4,4,45.0,Alta,1.0,Sí,73391.0
1604,184,2,3,8.0,Media,0.0,No,62359.0
1605,152,6,4,57.0,Media,3.0,Sí,56243.0
1606,110,1,3,40.0,Media,1.0,Sí,47580.0
1607,139,5,1,,Media,0.0,Sí,40352.0
1608,112,6,1,22.0,Alta,0.0,No,89462.0
1609,113,3,2,43.0,Alta,3.0,Sí,57389.0
1610,133,5,2,59.0,Media,3.0,No,-2879.0
1611,189,5,1,68.0,Media,3.0,Sí,22361.0
1612,107,3,2,71.0,Alta,2.0,Sí,55786.0
1613,118,1,2,37.0,Media,1.0,No,83058.0
1614,116,4,3,78.0,Media,0.0,Sí,34914.0
1615,60,6,1,79.0,Media,0.0,Sí,57543.0
1616,196,6,3,29.0,Media,2.0,Sí,77835.0
1617,108,3,2,31.0,Media,1.0,Sí,8494.0
1618,112,6,3,24.0,Baja,1.0,Sí,107387.0
1619,121,5,3,32.0,Baja,3.0,Sí,49533.0
1620,104,6,2,66.0,Baja,0.0,No,31805.0
1621,78,1,1,59.0,Media,2.0,Sí,15417.0
1622,53,3,4,5.0,Baja,3.0,Sí,56400.0
1623,65,3,1,2.0,Alta,0.0,Sí,71572.0
1624,125,1,4,64.0,Media,1.0,Sí,33431.0
1625,104,5,3,72.0,Media,0.0,Sí,50650.0
1626,101,2,2,74.0,Media,2.0,Sí,21022.0
1627,108,4,2,70.0,Media,1.0,Sí,75673.0
1628,112,6,4,4.0,Media,2.0,Sí,79501.0
1629,118,5,2,64.0,Alta,,Sí,58130.0
1630,77,6,1,78.0,Media,1.0,Sí,64588.0
1631,150,4,3,76.0,Media,2.0,No,57904.0
1632,205,3,3,75.0,Alta,0.0,No,43969.0
1633,159,1,4,8.0,Alta,2.0,Sí,68675.0
1634,147,3,4,40.0,Baja,0.0,Sí,22027.0
1635,114,4,2,40.0,Baja,3.0,No,62659.0
1636,141,2,4,54.0,Baja,2.0,No,34948.0
1637,198,4,4,31.0,Media,3.0,No,91340.0
1638,137,3,3,15.0,Baja,2.0,Sí,59212.0
1639,96,5,1,13.0,Media,1.0,No,65647.0
1640,157,1,3,73.0,Media,2.0,Sí,27262.0
1641,94,5,3,56.0,Media,2.0,Sí,47143.0
1642,105,2,2,65.0,Media,1.0,No,-15763.0
1643,177,4,3,,Alta,3.0,Sí,102289.0
1644,163,5,2,36.0,Alta,0.0,Sí,79803.0
1645,137,2,4,9.0,Media,1.0,No,43981.0
1646,136,1,3,50.0,Media,3.0,Sí,5709.0
1647,129,2,3,44.0,Baja,1.0,Sí,212.0
1648,166,4,3,47.0,Media,2.0,No,47094.0
1649,88,1,4,65.0,Media,2.0,Sí,36650.0
1650,99,6,3,63.0,Media,,Sí,40006.0
1651,100,4,1,72.0,Media,3.0,Sí,22793.0
1652,126,3,3,76.0,Baja,2.0,Sí,30292.0
1653,160,4,2,28.0,Media,3.0,No,48139.0
1654,157,2,3,58.0,Media,1.0,Sí,30785.0
1655,128,3,4,70.0,Baja,1.0,No,13655.0
1656,78,4,1,14.0,Media,1.0,Sí,52432.0
1657,183,5,4,41.0,Alta,2.0,No,114769.0
1658,88,2,4,59.0,Media,3.0,Sí,41729.0
1659,166,3,1,65.0,Alta,,Sí,4246.0
1660,172,2,4,0.0,Media,1.0,No,43534.0
1661,99,5,3,18.0,Alta,2.0,Sí,97748.0
1662,62,3,1,55.0,Media,1.0,No,2914.0
1663,141,1,3,16.0,Media,2.0,No,62514.0
1664,69,6,4,42.0,Baja,1.0,Sí,63901.0
1665,91,4,1,73.0,Alta,1.0,No,38935.0
1666,92,6,1,8.0,Media,0.0,Sí,53936.0
1667,63,6,4,38.0,Media,0.0,Sí,82375.0
1668,164,6,4,25.0,Alta,0.0,No,96951.0
1669,145,2,1,55.0,Media,,Sí,38217.0
1670,154,4,3,6.0,Media,3.0,Sí,84706.0
1671,142,6,3,8.0,Media,0.0,Sí,74043.0
1672,135,6,3,58.0,Media,3.0,Sí,57438.0
1673,136,3,1,72.0,Alta,0.0,Sí,28688.0
1674,137,3,3,15.0,Alta,3.0,Sí,114601.0
1675,78,4,4,66.0,Media,2.0,Sí,61604.0
1676,120,5,1,5.0,Baja,1.0,No,33838.0
1677,98,6,4,19.0,Media,0.0,No,79817.0
1678,77,5,4,,Alta,1.0,No,79293.0
1679,172,1,4,37.0,Baja,3.0,No,53542.0
1680,126,3,3,13.0,Baja,0.0,Sí,48763.0
1681,105,3,2,29.0,Media,0.0,No,-2455.0
1682,147,3,4,69.0,Media,0.0,No,32168.0
1683,108,6,4,,Media,3.0,No,65513.0
1684,172,5,4,73.0,Media,2.0,No,45964.0
1685,82,2,4,,Alta,2.0,Sí,48226.0
1686,130,3,1,20.0,Alta,3.0,Sí,61606.0
1687,151,3,4,45.0,Alta,3.0,Sí,92994.0
1688,100,3,1,69.0,Media,1.0,Sí,26967.0
1689,76,1,1,39.0,Media,3.0,No,6081.0
1690,90,2,2,35.0,Baja,3.0,Sí,9375.0
1691,146,6,4,69.0,Baja,1.0,Sí,54469.0
1692,131,1,1,46.0,Baja,1.0,No,-15073.0
1693,121,6,1,51.0,Media,3.0,No,92272.0
1694,91,1,3,35.0,Media,1.0,No,32137.0
1695,109,3,3,36.0,Alta,0.0,Sí,69307.0
1696,95,1,2,10.0,Alta,3.0,No,65969.0
1697,129,3,3,64.0,Media,0.0,Sí,54540.0
1698,44,4,1,56.0,Media,2.0,Sí,62056.0
1699,83,1,3,50.0,Media,2.0,No,33322.0
1700,92,2,4,56.0,Alta,2.0,No,57321.0
1701,177,4,1,39.0,Media,2.0,No,22869.0
1702,105,4,2,16.0,Alta,2.0,Sí,107802.0
1703,161,4,2,24.0,Baja,2.0,No,20557.0
1704,131,2,2,44.0,Baja,2.0,No,35634.0
1705,96,2,2,64.0,Media,2.0,Sí,36176.0
1706,153,5,1,65.0,Baja,3.0,Sí,29700.0
1707,108,3,3,33.0,Media,0.0,Sí,6666.0
1708,181,5,3,45.0,Baja,0.0,No,65588.0
1709,92,1,3,32.0,Alta,1.0,Sí,74039.0
1710,115,1,4,41.0,Media,1.0,Sí,39286.0
1711,180,4,1,45.0,Media,3.0,No,55510.0
1712,111,4,2,,Baja,0.0,No,48450.0
1713,118,4,4,4.0,Alta,0.0,Sí,126173.0
1714,136,4,3,44.0,Media,0.0,Sí,57988.0
1715,98,6,2,65.0,Baja,1.0,No,70335.0
1716,131,4,3,3.0,Media,1.0,Sí,75279.0
1717,57,4,2,53.0,Media,0.0,No,17093.0
1718,65,4,4,43.0,Media,0.0,Sí,65532.0
1719,47,5,3,41.0,Baja,1.0,Sí,53559.0
1720,141,1,1,66.0,Media,2.0,Sí,2119.0
1721,121,1,2,46.0,Media,1.0,No,21051.0
1722,119,2,3,3.0,Media,0.0,No,15958.0
1723,189,1,3,75.0,Baja,0.0,Sí,-13732.0
1724,140,6,3,24.0,Baja,2.0,Sí,86418.0
1725,64,4,4,68.0,Alta,3.0,Sí,56794.0
1726,153,2,3,37.0,Baja,1.0,Sí,15299.0
1727,42,1,4,19.0,Alta,3.0,Sí,61081.0
1728,128,3,3,10.0,Media,1.0,No,52866.0
1729,104,2,1,54.0,Media,1.0,No,19897.0
1730,138,3,2,64.0,Baja,1.0,No,39529.0
1731,90,4,2,78.0,Alta,1.0,Sí,62312.0
1732,128,3,2,48.0,Alta,,Sí,65529.0
1733,166,1,2,76.0,Media,1.0,Sí,-21728.0
1734,124,6,1,74.0,Alta,2.0,Sí,83377.0
1735,101,6,4,77.0,Alta,1.0,Sí,66178.0
1736,77,3,4,71.0,Media,2.0,No,69945.0
1737,105,1,1,28.0,Media,2.0,Sí,12067.0
1738,102,2,4,5.0,Media,,Sí,39465.0
1739,109,6,3,33.0,Media,3.0,Sí,69425.0
1740,98,5,2,79.0,Alta,2.0,Sí,71330.0
1741,144,1,2,66.0,Alta,2.0,No,32401.0
1742,128,1,4,51.0,Media,2.0,Sí,33460.0
1743,82,3,4,32.0,Alta,3.0,Sí,46934.0
1744,107,2,4,43.0,Alta,0.0,Sí,86403.0
1745,81,5,4,43.0,Baja,1.0,Sí,41088.0
1746,162,4,3,23.0,Baja,1.0,Sí,24636.0
1747,136,4,4,29.0,Media,2.0,No,52853.0
1748,213,1,2,15.0,Media,0.0,Sí,-21386.0
1749,102,5,4,18.0,Baja,2.0,Sí,75065.0
1750,63,1,1,15.0,Alta,1.0,Sí,36603.0
1751,81,4,3,,Alta,3.0,Sí,73892.0
1752,178,5,2,73.0,Media,0.0,No,16029.0
1753,113,4,3,,Alta,0.0,No,54016.0
1754,92,2,3,71.0,Alta,2.0,No,48396.0
1755,180,3,2,6.0,Media,3.0,Sí,75587.0
