Tienda,Fecha,Producto,Precio Unitario (€),Cantidad Vendida,Costo Producción (€),Gasto Publicidad (€),Descuento Aplicado (%),Ingresos Totales (€),Ganancia Bruta (€)
1,2026-02-27,Smartphone,547.07,4,394.34,223,15,1860.04,282.67
2,2026-02-28,Tablet,449.2,9,263.09,466,6,3800.2,1432.36
3,2026-03-01,Auriculares,88.16,3,61.3,443,14,227.46,43.55
1,2026-03-02,Tablet,433.59,6,267.59,235,11,2315.36,709.84
1,2026-03-03,Auriculares,14.24,7,50.79,330,3,96.72,-258.79
2,2026-03-04,Laptop,1031.51,3,681.75,123,5,2939.8,894.54
5,2026-03-05,Cámara,387.91,1,290.75,344,5,368.51,77.76
1,2026-03-06,Tablet,386.2,2,256.86,65,14,664.27,150.56
1,2026-03-07,Auriculares,14.72,7,86.37,237,2,101.0,-503.59
3,2026-03-08,Cámara,531.65,7,290.32,461,1,3684.35,1652.11
4,2026-03-09,Tablet,403.46,1,266.1,221,4,387.32,121.23
2,2026-03-10,Smartphone,561.46,7,393.44,235,7,3655.11,901.04
2,2026-03-11,Auriculares,171.72,6,52.21,81,18,844.86,531.61
5,2026-03-12,Smartphone,555.17,6,430.31,112,15,2831.35,249.5
5,2026-03-13,Laptop,848.44,7,715.29,398,18,4870.05,-136.95
2,2026-03-14,Smartphone,625.68,7,375.17,350,15,3722.81,1096.59
5,2026-03-15,Smartphone,511.67,1,388.55,358,5,486.09,97.54
3,2026-03-16,Auriculares,56.75,5,75.12,238,0,283.75,-91.87
2,2026-03-17,Laptop,974.13,8,702.84,355,17,6468.24,845.54
5,2026-03-18,Smartphone,528.8,8,377.02,460,7,3934.27,918.09
2,2026-03-19,Cámara,475.31,3,283.62,75,4,1368.9,518.04
4,2026-03-20,Tablet,329.74,3,264.07,436,11,880.39,88.19
1,2026-03-21,Smartphone,608.12,7,419.89,395,17,3533.17,593.95
2,2026-03-22,Laptop,938.56,4,700.36,88,4,3604.08,802.65
1,2026-03-23,Smartphone,601.51,6,449.51,242,12,3175.96,478.92
5,2026-03-24,Tablet,458.1,9,266.48,212,11,3669.38,1271.04
1,2026-03-25,Laptop,1039.12,2,695.13,102,15,1766.5,376.24
2,2026-03-26,Auriculares,95.91,2,33.69,223,13,166.89,99.52
4,2026-03-27,Laptop,950.56,6,680.5,245,10,5133.04,1050.03
5,2026-03-28,Auriculares,107.96,3,56.71,260,8,297.97,127.84
2,2026-03-29,Laptop,965.21,1,690.22,327,9,878.34,188.12
5,2026-03-30,Tablet,410.06,2,283.47,237,15,697.1,130.15
3,2026-03-31,Tablet,314.24,7,279.33,439,18,1803.71,-151.57
1,2026-04-01,Laptop,1040.36,4,712.66,357,9,3786.92,936.28
3,2026-04-02,Smartphone,601.66,2,376.42,380,3,1167.22,414.38
2,2026-04-03,Tablet,510.43,8,236.56,263,7,3797.57,1905.12
4,2026-04-04,Auriculares,165.3,4,75.11,378,10,595.09,294.64
5,2026-04-05,Auriculares,128.31,4,38.74,78,5,487.58,332.62
1,2026-04-06,Cámara,493.8,2,322.44,220,3,957.97,313.09
5,2026-04-07,Auriculares,63.52,1,59.49,171,4,60.98,1.49
2,2026-04-08,Cámara,547.12,1,301.03,467,17,454.11,153.08
5,2026-04-09,Laptop,988.53,3,685.94,208,2,2906.27,848.44
1,2026-04-10,Laptop,1058.42,6,698.12,135,6,5969.48,1780.79
2,2026-04-11,Laptop,1020.04,7,703.79,351,11,6354.86,1428.31
5,2026-04-12,Smartphone,620.4,9,420.65,53,2,5471.93,1686.07
4,2026-04-13,Smartphone,629.73,5,382.29,51,16,2644.85,733.42
2,2026-04-14,Cámara,454.02,9,294.74,182,2,4004.44,1351.75
2,2026-04-15,Auriculares,48.89,8,50.9,351,10,352.03,-55.14
4,2026-04-16,Auriculares,47.16,1,63.25,128,5,44.81,-18.45
3,2026-04-17,Laptop,1052.37,3,681.83,196,10,2841.41,795.92
1,2026-04-18,Tablet,352.71,8,223.67,215,3,2737.06,947.71
3,2026-04-19,Smartphone,558.94,9,413.48,364,16,4225.6,504.29
5,2026-04-20,Smartphone,626.88,4,369.64,287,0,2507.5,1028.94
4,2026-04-21,Laptop,987.4,6,725.7,377,11,5272.7,918.51
3,2026-04-22,Smartphone,581.01,4,396.88,325,2,2277.56,690.03
2,2026-04-23,Laptop,976.67,9,669.05,253,15,7471.54,1450.1
5,2026-04-24,Cámara,383.72,2,290.39,102,2,752.09,171.3
5,2026-04-25,Auriculares,51.66,6,57.58,156,13,269.64,-75.85
3,2026-04-26,Tablet,459.08,3,239.35,104,16,1156.88,438.84
3,2026-04-27,Auriculares,73.03,4,50.4,295,18,239.54,37.94
4,2026-04-28,Auriculares,4.98,2,64.8,472,6,9.35,-120.25
1,2026-04-29,Cámara,449.6,8,295.96,426,10,3237.12,869.47
3,2026-04-30,Smartphone,617.99,8,381.26,213,15,4202.35,1152.28
3,2026-05-01,Tablet,417.0,1,244.02,491,18,341.94,97.92
2,2026-05-02,Smartphone,585.29,6,428.3,64,4,3371.25,801.47
5,2026-05-03,Auriculares,65.54,1,83.7,50,0,65.54,-18.16
1,2026-05-04,Laptop,929.89,6,659.6,400,9,5077.2,1119.59
2,2026-05-05,Auriculares,118.41,7,71.82,186,17,687.96,185.21
4,2026-05-06,Smartphone,641.89,2,405.0,200,9,1168.25,358.24
4,2026-05-07,Auriculares,164.44,9,68.48,229,0,1480.0,863.68
3,2026-05-08,Laptop,944.47,8,688.99,459,12,6649.07,1137.15
3,2026-05-09,Cámara,568.28,9,264.63,281,3,4961.05,2579.34
4,2026-05-10,Smartphone,597.17,4,411.69,237,11,2125.92,479.16
3,2026-05-11,Auriculares,101.33,4,31.18,67,15,344.52,219.8
1,2026-05-12,Smartphone,644.68,8,372.23,274,18,4229.1,1251.22
3,2026-05-13,Cámara,472.95,1,273.63,154,11,420.93,147.3
5,2026-05-14,Auriculares,-8.19,8,62.02,255,5,-62.25,-558.39
3,2026-05-15,Auriculares,135.24,7,52.79,235,15,804.7,435.17
2,2026-05-16,Smartphone,617.43,7,415.65,114,11,3846.58,937.03
1,2026-05-17,Smartphone,581.99,9,413.38,382,9,4766.47,1046.03
2,2026-05-18,Laptop,1031.13,7,691.58,421,4,6929.17,2088.1
2,2026-05-19,Cámara,541.35,2,298.59,256,18,887.81,290.63
5,2026-05-20,Laptop,924.4,1,689.77,278,11,822.72,132.94
1,2026-05-21,Auriculares,101.13,1,45.79,118,7,94.05,48.25
1,2026-05-22,Smartphone,486.12,7,380.65,191,3,3300.77,636.18
1,2026-05-23,Auriculares,93.82,5,57.81,255,6,440.93,151.88
1,2026-05-24,Auriculares,81.36,4,71.5,223,4,312.43,26.42
1,2026-05-25,Tablet,424.6,5,233.67,246,10,1910.68,742.34
5,2026-05-26,Tablet,346.35,6,275.63,380,16,1745.59,91.84
3,2026-05-27,Auriculares,78.93,6,52.27,465,2,464.08,150.46
2,2026-05-28,Smartphone,439.2,1,404.82,356,1,434.81,29.98
1,2026-05-29,Auriculares,127.88,2,16.01,246,18,209.72,177.69
3,2026-05-30,Tablet,395.58,3,213.85,277,1,1174.87,533.31
3,2026-05-31,Smartphone,604.36,4,402.88,320,13,2103.18,491.65
2,2026-06-01,Auriculares,25.33,6,65.79,486,0,151.97,-242.8
5,2026-06-02,Cámara,519.9,9,286.57,248,15,3977.26,1398.11
4,2026-06-03,Cámara,582.64,2,333.4,374,14,1002.14,335.33
4,2026-06-04,Auriculares,90.75,8,64.7,64,17,602.61,85.02
3,2026-06-05,Smartphone,632.5,9,381.83,335,1,5635.61,2199.12
2,2026-06-06,Auriculares,56.47,2,50.62,383,10,101.64,0.41
4,2026-06-07,Auriculares,96.16,9,99.54,457,16,726.95,-168.9
3,2026-06-08,Tablet,323.43,7,225.15,265,12,1992.35,416.31
5,2026-06-09,Cámara,539.41,9,310.57,84,11,4320.64,1525.55
4,2026-06-10,Tablet,407.99,6,243.55,118,1,2423.47,962.2
3,2026-06-11,Tablet,339.04,2,264.14,445,17,562.8,34.52
3,2026-06-12,Auriculares,59.91,8,75.35,261,9,436.12,-166.64
1,2026-06-13,Tablet,403.05,9,242.28,95,11,3228.47,1047.99
5,2026-06-14,Cámara,546.19,8,322.38,431,16,3670.42,1091.39
1,2026-06-15,Tablet,473.98,2,294.42,297,13,824.72,235.87
2,2026-06-16,Cámara,493.29,8,301.33,469,18,3236.01,825.4
1,2026-06-17,Tablet,331.77,3,265.7,134,12,875.87,78.77
1,2026-06-18,Cámara,511.92,3,288.19,97,2,1505.05,640.48
4,2026-06-19,Tablet,489.24,9,250.39,280,7,4094.97,1841.51
3,2026-06-20,Tablet,318.86,9,246.47,116,4,2754.97,536.77
5,2026-06-21,Smartphone,552.27,9,415.94,487,11,4423.68,680.24
1,2026-06-22,Cámara,530.55,4,324.09,138,0,2122.19,825.82
5,2026-06-23,Cámara,507.68,7,297.81,268,15,3020.7,936.05
1,2026-06-24,Cámara,472.75,8,330.67,469,11,3365.97,720.59
2,2026-06-25,Laptop,1011.01,5,730.6,101,16,4246.22,593.22
1,2026-06-26,Tablet,448.88,1,266.94,71,8,412.97,146.03
4,2026-06-27,Cámara,495.08,9,289.68,471,12,3921.06,1313.94
3,2026-06-28,Laptop,990.7,6,687.76,148,3,5765.87,1639.29
2,2026-06-29,Smartphone,629.45,3,383.75,495,3,1831.7,680.45
1,2026-06-30,Cámara,486.47,3,318.98,498,14,1255.1,298.15
5,2026-07-01,Cámara,557.13,1,275.76,180,9,506.98,231.22
2,2026-07-02,Laptop,1101.34,8,713.54,137,5,8370.16,2661.87
2,2026-07-03,Tablet,355.35,2,228.38,185,2,696.49,239.74
1,2026-07-04,Smartphone,537.5,1,416.47,423,14,462.25,45.78
2,2026-07-05,Cámara,518.59,7,300.34,88,5,3448.6,1346.19
5,2026-07-06,Tablet,335.72,9,276.67,67,10,2719.37,229.32
2,2026-07-07,Smartphone,534.87,6,422.83,154,1,3177.13,640.16
5,2026-07-08,Auriculares,-2.46,8,78.7,436,1,-19.49,-649.1
1,2026-07-09,Auriculares,80.89,8,79.22,195,0,647.1,13.37
3,2026-07-10,Smartphone,598.35,9,402.87,385,10,4846.64,1220.79
2,2026-07-11,Laptop,974.13,7,676.82,273,4,6546.17,1808.4
3,2026-07-12,Smartphone,669.52,9,378.95,166,5,5724.37,2313.82
5,2026-07-13,Smartphone,665.79,9,358.26,50,2,5872.31,2647.94
2,2026-07-14,Laptop,1096.44,1,678.33,166,19,888.12,209.79
4,2026-07-15,Laptop,1002.33,6,701.38,433,4,5773.4,1565.14
3,2026-07-16,Tablet,459.19,8,238.81,75,19,2975.56,1065.1
2,2026-07-17,Tablet,415.44,9,246.4,485,8,3439.86,1222.29
3,2026-07-18,Laptop,1010.42,4,709.85,61,18,3314.17,474.76
2,2026-07-19,Auriculares,76.63,2,43.92,343,4,147.13,59.29
1,2026-07-20,Auriculares,-13.16,9,27.56,390,11,-105.39,-353.46
3,2026-07-21,Smartphone,631.86,9,398.94,218,11,5061.24,1470.82
4,2026-07-22,Cámara,557.71,8,282.03,102,15,3792.41,1536.16
4,2026-07-23,Smartphone,523.72,3,394.58,318,6,1476.89,293.14
5,2026-07-24,Smartphone,599.52,5,426.86,297,13,2607.89,473.61
2,2026-07-25,Cámara,549.58,2,294.59,177,8,1011.23,422.05
3,2026-07-26,Laptop,982.03,3,735.42,125,14,2533.62,327.37
5,2026-07-27,Auriculares,159.66,1,78.63,318,10,143.69,65.06
3,2026-07-28,Smartphone,592.99,4,388.41,195,3,2300.79,747.13
2,2026-07-29,Cámara,473.74,5,277.78,452,10,2131.84,742.95
4,2026-07-30,Tablet,462.51,2,248.95,452,8,851.03,353.13
1,2026-07-31,Smartphone,553.31,3,423.07,97,5,1576.94,307.74
4,2026-08-01,Auriculares,63.75,6,40.2,248,16,321.32,80.15
5,2026-08-02,Laptop,955.22,6,718.16,120,8,5272.83,963.86
1,2026-08-03,Smartphone,542.87,7,424.17,461,5,3610.09,640.91
5,2026-08-04,Smartphone,607.65,9,384.52,141,5,5195.42,1734.75
2,2026-08-05,Cámara,474.35,4,286.48,452,3,1840.49,694.57
1,2026-08-06,Tablet,424.43,5,264.25,258,19,1718.94,397.68
5,2026-08-07,Tablet,313.27,2,253.04,391,10,563.88,57.81
2,2026-08-08,Laptop,943.87,6,686.28,388,2,5549.97,1432.3
4,2026-08-09,Auriculares,102.58,4,42.96,97,17,340.56,168.74
2,2026-08-10,Laptop,1073.48,5,698.59,78,15,4562.31,1069.36
3,2026-08-11,Smartphone,618.93,7,368.7,225,15,3682.6,1101.68
2,2026-08-12,Smartphone,570.53,6,415.31,68,11,3046.63,554.76
2,2026-08-13,Tablet,325.52,8,240.43,404,13,2265.64,342.23
3,2026-08-14,Auriculares,67.61,6,-5.67,96,8,373.19,407.24
5,2026-08-15,Cámara,497.88,8,299.52,394,6,3744.03,1347.85
5,2026-08-16,Auriculares,-17.88,4,35.17,109,13,-62.24,-202.91
2,2026-08-17,Smartphone,539.33,7,433.78,225,19,3058.01,21.57
3,2026-08-18,Cámara,463.12,3,288.29,304,19,1125.39,260.51
3,2026-08-19,Auriculares,87.13,1,28.05,453,9,79.29,51.24
4,2026-08-20,Auriculares,97.28,9,60.16,278,10,787.99,246.57
5,2026-08-21,Cámara,469.46,9,286.79,196,6,3971.6,1390.48
1,2026-08-22,Smartphone,625.29,6,384.41,347,18,3076.44,769.98
5,2026-08-23,Auriculares,106.24,2,60.19,382,18,174.23,53.85
5,2026-08-24,Cámara,481.5,8,279.19,288,10,3466.78,1233.25
4,2026-08-25,Smartphone,632.19,6,370.85,381,5,3603.48,1378.35
1,2026-08-26,Cámara,528.1,7,334.52,482,7,3437.91,1096.27
4,2026-08-27,Cámara,427.31,1,311.59,448,0,427.31,115.72
1,2026-08-28,Auriculares,98.4,3,44.72,237,7,274.53,140.38
2,2026-08-29,Smartphone,644.51,1,399.93,373,4,618.73,218.8
1,2026-08-30,Auriculares,152.87,1,60.12,384,9,139.12,79.0
4,2026-08-31,Laptop,1018.55,1,719.47,258,1,1008.36,288.89
5,2026-09-01,Laptop,988.34,4,684.88,460,3,3834.74,1095.22
1,2026-09-02,Smartphone,621.07,7,407.32,124,1,4303.99,1452.73
1,2026-09-03,Cámara,540.39,7,289.87,232,14,3253.14,1224.08
3,2026-09-04,Auriculares,105.79,5,46.22,136,19,428.46,197.35
5,2026-09-05,Auriculares,111.43,6,53.21,320,9,608.41,289.13
2,2026-09-06,Smartphone,587.51,2,399.87,229,1,1163.27,363.54
4,2026-09-07,Smartphone,533.16,5,414.71,464,5,2532.51,458.96
2,2026-09-08,Laptop,991.28,7,709.74,294,13,6036.91,1068.71
5,2026-09-09,Tablet,366.14,9,219.84,395,4,3163.49,1184.96
1,2026-09-10,Smartphone,566.3,6,372.84,56,1,3363.85,1126.78
1,2026-09-11,Tablet,471.69,4,242.61,318,13,1641.49,671.06
5,2026-09-12,Smartphone,647.58,3,436.57,487,12,1709.61,399.89
1,2026-09-13,Cámara,415.33,9,282.97,62,1,3700.55,1153.83
1,2026-09-14,Cámara,445.76,7,295.84,453,8,2870.67,799.82
1,2026-09-15,Laptop,981.82,6,689.27,275,2,5773.11,1637.47
4,2026-09-16,Laptop,967.97,7,688.92,315,14,5827.17,1004.74
4,2026-09-17,Tablet,415.87,8,253.56,291,2,3260.43,1231.91
3,2026-09-18,Smartphone,537.82,5,428.02,429,11,2393.3,253.22
2,2026-09-19,Auriculares,147.93,3,59.12,229,5,421.59,244.23
5,2026-09-20,Laptop,997.8,3,683.93,470,18,2454.59,402.8
5,2026-09-21,Auriculares,82.97,2,105.06,229,16,139.4,-70.73
5,2026-09-22,Auriculares,99.28,8,51.57,175,5,754.56,341.99
3,2026-09-23,Smartphone,579.12,1,388.46,332,18,474.88,86.43
4,2026-09-24,Tablet,298.47,8,278.24,467,16,2005.7,-220.23
3,2026-09-25,Smartphone,600.6,3,390.62,405,15,1531.52,359.66
5,2026-09-26,Laptop,983.96,9,733.26,239,7,8235.77,1636.44
2,2026-09-27,Auriculares,52.28,2,32.59,65,18,85.73,20.56
1,2026-09-28,Smartphone,654.87,9,428.6,364,7,5481.27,1623.87
4,2026-09-29,Smartphone,633.47,6,404.02,70,19,3078.67,654.55
4,2026-09-30,Smartphone,721.94,1,425.82,65,14,620.87,195.05
3,2026-10-01,Laptop,1041.74,5,738.04,318,7,4844.1,1153.92
4,2026-10-02,Tablet,367.83,9,227.35,82,2,3244.25,1198.11
5,2026-10-03,Smartphone,554.71,6,425.52,231,15,2829.02,275.93
5,2026-10-04,Laptop,975.28,7,671.82,118,2,6690.45,1987.7
3,2026-10-05,Auriculares,66.67,4,29.06,460,0,266.67,150.45
5,2026-10-06,Cámara,505.44,1,283.93,101,7,470.06,186.13
2,2026-10-07,Laptop,923.06,5,710.07,114,8,4246.08,695.71
3,2026-10-08,Cámara,532.36,2,300.66,349,11,947.61,346.29
2,2026-10-09,Smartphone,604.56,8,396.66,463,17,4014.28,841.02
1,2026-10-10,Smartphone,626.62,4,402.92,456,16,2105.45,493.76
2,2026-10-11,Laptop,942.79,1,711.83,384,7,876.8,164.97
1,2026-10-12,Cámara,512.33,7,313.36,277,19,2904.94,711.38
1,2026-10-13,Smartphone,664.96,2,421.88,271,10,1196.93,353.16
2,2026-10-14,Auriculares,56.97,3,86.4,321,6,160.67,-98.53
3,2026-10-15,Tablet,355.61,9,249.57,488,13,2784.4,538.25
5,2026-10-16,Tablet,435.6,9,239.58,67,9,3567.55,1411.34
5,2026-10-17,Smartphone,551.55,2,412.27,267,14,948.66,124.12
1,2026-10-18,Cámara,488.34,3,277.11,322,11,1303.86,472.51
1,2026-10-19,Smartphone,673.79,9,386.43,357,19,4911.9,1434.07
3,2026-10-20,Cámara,456.32,1,319.99,222,16,383.31,63.32
4,2026-10-21,Auriculares,177.22,2,47.52,105,7,329.63,234.6
2,2026-10-22,Cámara,483.21,2,275.84,398,13,840.79,289.11
1,2026-10-23,Smartphone,543.94,3,370.2,487,14,1403.37,292.75
5,2026-10-24,Auriculares,130.19,3,50.97,58,10,351.5,198.58
3,2026-10-25,Laptop,1005.39,2,722.84,450,11,1789.59,343.91
2,2026-10-26,Tablet,400.66,8,272.57,332,19,2596.27,415.7
3,2026-10-27,Smartphone,561.56,8,402.22,342,15,3818.64,600.89
2,2026-10-28,Smartphone,605.02,8,440.18,71,19,3920.55,399.12
2,2026-10-29,Smartphone,496.62,2,397.9,121,17,824.39,28.58
1,2026-10-30,Auriculares,110.94,9,47.23,471,9,908.58,483.53
3,2026-10-31,Laptop,1064.86,7,648.65,404,18,6112.31,1571.75
3,2026-11-01,Cámara,411.73,5,291.05,377,17,1708.67,253.41
5,2026-11-02,Laptop,979.66,7,717.04,221,0,6857.63,1838.35
5,2026-11-03,Auriculares,56.27,8,81.28,172,3,436.64,-213.59
1,2026-11-04,Smartphone,524.45,9,383.4,140,6,4436.82,986.27
1,2026-11-05,Tablet,297.36,2,259.25,273,0,594.71,76.22
4,2026-11-06,Smartphone,540.96,6,420.94,341,7,3018.55,492.92
5,2026-11-07,Cámara,487.88,9,300.22,403,16,3688.38,986.36
2,2026-11-08,Tablet,457.46,6,204.33,301,7,2552.61,1326.6
3,2026-11-09,Smartphone,523.86,2,404.95,458,4,1005.82,195.93
1,2026-11-10,Tablet,414.72,1,265.23,347,0,414.72,149.49
3,2026-11-11,Laptop,1010.98,3,681.05,416,14,2608.33,565.18
3,2026-11-12,Auriculares,183.6,5,44.92,305,3,890.45,665.87
4,2026-11-13,Smartphone,628.55,7,376.89,62,6,4135.87,1497.64
5,2026-11-14,Cámara,531.43,3,248.6,489,13,1387.03,641.24
1,2026-11-15,Laptop,1034.97,9,720.54,384,11,8290.07,1805.21
3,2026-11-16,Smartphone,553.79,4,399.93,167,2,2170.85,571.15
1,2026-11-17,Laptop,971.36,2,731.95,484,19,1573.6,109.69
2,2026-11-18,Cámara,555.84,3,317.15,227,17,1384.05,432.61
4,2026-11-19,Smartphone,497.46,5,392.92,357,7,2313.19,348.61
2,2026-11-20,Cámara,465.88,3,298.34,210,1,1383.68,488.67
1,2026-11-21,Tablet,333.46,5,261.32,144,5,1583.93,277.32
1,2026-11-22,Cámara,511.71,4,319.34,458,6,1924.04,646.69
5,2026-11-23,Tablet,378.92,3,256.45,417,6,1068.55,299.19
3,2026-11-24,Smartphone,631.3,6,422.11,363,12,3333.26,800.59
3,2026-11-25,Tablet,394.55,8,244.07,217,0,3156.4,1203.87
2,2026-11-26,Smartphone,522.7,4,380.06,136,7,1944.43,424.2
4,2026-11-27,Smartphone,525.01,9,398.7,471,12,4158.05,569.72
3,2026-11-28,Auriculares,99.7,6,54.1,52,19,484.53,159.91
5,2026-11-29,Smartphone,561.44,5,375.97,421,18,2301.92,422.07
2,2026-11-30,Tablet,373.37,3,223.27,65,16,940.89,271.09
2,2026-12-01,Auriculares,146.92,5,58.95,179,12,646.45,351.71
5,2026-12-02,Auriculares,137.95,5,41.87,72,15,586.29,376.93
4,2026-12-03,Smartphone,689.89,4,396.68,147,14,2373.21,786.48
5,2026-12-04,Cámara,484.18,6,292.81,207,10,2614.59,857.75
4,2026-12-05,Cámara,467.94,3,330.41,288,11,1249.41,258.17
5,2026-12-06,Auriculares,120.91,1,75.24,59,2,118.49,43.26
5,2026-12-07,Smartphone,571.96,7,375.25,370,8,3683.42,1056.65
1,2026-12-08,Cámara,473.6,7,289.34,71,13,2884.21,858.8
2,2026-12-09,Smartphone,589.89,4,417.0,357,6,2218.0,550.0
5,2026-12-10,Smartphone,682.64,9,412.04,416,10,5529.36,1821.01
5,2026-12-11,Auriculares,135.2,2,49.17,233,9,246.06,147.72
3,2026-12-12,Auriculares,140.44,1,27.25,466,2,137.63,110.38
2,2026-12-13,Laptop,1080.39,3,686.35,266,18,2657.77,598.72
3,2026-12-14,Cámara,545.13,7,289.66,263,1,3777.73,1750.08
2,2026-12-15,Cámara,443.43,9,305.54,385,16,3352.33,602.47
3,2026-12-16,Cámara,544.37,2,334.07,207,1,1077.85,409.7
5,2026-12-17,Tablet,450.71,6,236.26,259,15,2298.63,881.06
5,2026-12-18,Smartphone,632.59,3,379.48,457,16,1594.13,455.7
1,2026-12-19,Auriculares,90.23,5,47.83,182,9,410.54,171.4
3,2026-12-20,Cámara,527.32,9,320.63,102,3,4603.47,1717.76
4,2026-12-21,Laptop,998.99,3,671.06,278,10,2697.27,684.08
1,2026-12-22,Cámara,451.1,1,329.07,232,16,378.92,49.85
3,2026-12-23,Smartphone,563.52,5,396.56,72,11,2507.66,524.86
3,2026-12-24,Smartphone,635.19,1,385.31,155,9,578.02,192.71
1,2026-12-25,Auriculares,54.71,8,18.0,140,15,372.02,228.05
5,2026-12-26,Tablet,359.42,7,264.13,168,3,2440.48,591.56
3,2026-12-27,Auriculares,137.67,2,46.58,187,2,269.83,176.68
5,2026-12-28,Cámara,506.69,9,303.41,169,8,4195.39,1464.66
1,2026-12-29,Laptop,1028.86,5,681.98,210,5,4887.08,1477.16
5,2026-12-30,Auriculares,38.55,7,43.62,257,11,240.16,-65.17
2,2026-12-31,Tablet,427.47,4,240.27,398,0,1709.89,748.81
4,2027-01-01,Auriculares,67.0,1,47.99,367,13,58.29,10.3
3,2027-01-02,Smartphone,549.16,8,386.61,387,9,3997.85,904.98
4,2027-01-03,Cámara,474.73,1,269.32,204,17,394.03,124.71
5,2027-01-04,Cámara,568.1,3,354.57,312,12,1499.79,436.08
3,2027-01-05,Cámara,481.78,6,272.73,405,8,2659.41,1023.02
5,2027-01-06,Cámara,610.07,8,303.63,204,18,4002.06,1573.02
2,2027-01-07,Cámara,396.89,8,264.56,379,3,3079.87,963.4
1,2027-01-08,Cámara,422.69,2,260.06,443,2,828.46,308.35
3,2027-01-09,Laptop,1066.21,9,701.96,362,5,9116.09,2798.48
2,2027-01-10,Tablet,478.78,4,253.49,335,8,1761.91,747.96
2,2027-01-11,Cámara,456.83,4,325.23,308,9,1662.85,361.93
3,2027-01-12,Tablet,403.44,2,257.99,206,8,742.34,226.36
5,2027-01-13,Cámara,535.61,1,297.0,63,16,449.91,152.91
2,2027-01-14,Auriculares,88.53,7,31.01,126,9,563.94,346.89
4,2027-01-15,Cámara,507.49,3,329.98,388,5,1446.36,456.42
2,2027-01-16,Smartphone,600.55,4,418.58,458,15,2041.86,367.55
5,2027-01-17,Laptop,925.93,9,675.07,443,16,7000.01,924.35
5,2027-01-18,Auriculares,82.77,6,50.76,384,10,446.94,142.39
4,2027-01-19,Auriculares,100.62,1,52.88,269,19,81.5,28.62
2,2027-01-20,Smartphone,605.16,9,393.09,281,6,5119.62,1581.84
5,2027-01-21,Cámara,413.47,9,315.44,482,3,3609.63,770.7
3,2027-01-22,Laptop,1037.68,5,716.63,343,9,4721.47,1138.29
1,2027-01-23,Auriculares,106.47,8,46.19,191,13,741.06,371.54
1,2027-01-24,Laptop,947.23,7,694.38,300,16,5569.72,709.04
1,2027-01-25,Auriculares,189.95,8,79.98,463,13,1322.07,682.24
2,2027-01-26,Cámara,482.67,9,318.66,345,19,3518.67,650.76
4,2027-01-27,Auriculares,85.92,2,51.45,189,12,151.22,48.32
5,2027-01-28,Auriculares,132.09,5,17.42,191,1,653.82,566.74
3,2027-01-29,Tablet,494.2,8,256.88,178,8,3637.31,1582.27
3,2027-01-30,Cámara,534.05,3,313.96,373,2,1570.11,628.23
2,2027-01-31,Smartphone,641.31,6,344.91,354,3,3732.4,1662.94
1,2027-02-01,Smartphone,549.92,6,405.04,67,11,2936.57,506.34
2,2027-02-02,Cámara,504.35,7,291.67,292,14,3036.17,994.51
4,2027-02-03,Smartphone,573.39,3,395.58,213,19,1393.33,206.58
4,2027-02-04,Cámara,535.21,8,281.85,369,7,3981.94,1727.12
5,2027-02-05,Smartphone,639.85,8,397.04,145,17,4248.59,1072.3
5,2027-02-06,Tablet,481.66,9,277.84,77,4,4161.56,1661.0
4,2027-02-07,Smartphone,492.08,8,391.07,279,1,3897.3,768.72
4,2027-02-08,Auriculares,68.47,3,69.31,465,8,188.98,-18.95
4,2027-02-09,Cámara,565.01,6,283.87,74,13,2949.36,1246.12
2,2027-02-10,Laptop,929.92,9,715.18,224,0,8369.31,1932.74
4,2027-02-11,Laptop,1040.28,1,700.03,453,19,842.63,142.6
3,2027-02-12,Cámara,556.7,3,307.04,210,3,1620.0,698.88
1,2027-02-13,Tablet,398.58,2,250.14,79,16,669.62,169.33
4,2027-02-14,Smartphone,528.93,8,412.83,214,9,3850.59,547.93
1,2027-02-15,Tablet,393.92,6,198.65,257,1,2339.91,1148.02
2,2027-02-16,Laptop,1072.93,8,671.6,486,5,8154.3,2781.47
1,2027-02-17,Cámara,576.95,2,308.34,151,18,946.2,329.52
2,2027-02-18,Cámara,510.39,6,259.13,422,8,2817.37,1262.6
3,2027-02-19,Tablet,351.14,7,239.39,155,18,2015.53,339.81
2,2027-02-20,Tablet,486.92,8,248.91,379,18,3194.19,1202.89
2,2027-02-21,Smartphone,641.05,9,383.44,118,8,5307.86,1856.93
5,2027-02-22,Auriculares,54.42,5,36.17,57,2,266.68,85.84
4,2027-02-23,Auriculares,117.13,3,55.43,172,5,333.81,167.51
4,2027-02-24,Smartphone,614.84,2,420.19,402,5,1168.19,327.82
3,2027-02-25,Auriculares,68.16,8,30.83,150,16,458.04,211.39
3,2027-02-26,Laptop,1017.41,1,688.5,50,12,895.32,206.82
4,2027-02-27,Auriculares,155.31,6,35.37,400,12,820.03,607.78
5,2027-02-28,Smartphone,585.19,2,351.57,56,6,1100.15,397.01
4,2027-03-01,Auriculares,160.41,3,52.83,367,8,442.74,284.24
5,2027-03-02,Cámara,412.23,8,318.69,160,17,2737.22,187.67
3,2027-03-03,Tablet,510.91,1,270.33,392,0,510.91,240.58
