ID,Edad,Nivel_Educativo,Experiencia_Anios,Departamento,Horas_Entrenamiento_Mensual,Satisfaccion_Laboral,Remoto,Salario_Mensual
2814,22,Técnica,4,Recursos Humanos,14,Muy Alta,Sí,4806.77
2815,20,Universitaria,0,TI,7,Baja,Sí,3814.11
2816,18,Técnica,0,Finanzas,9,Alta,No,2804.41
2817,21,Universitaria,0,Ventas,10,Muy Alta,Sí,3546.23
2818,57,Universitaria,37,TI,8,Alta,No,7487.97
2819,52,Universitaria,32,Marketing,15,Baja,Sí,6695.17
2820,49,Universitaria,25,Ventas,13,Muy Alta,No,6904.82
2821,59,Técnica,39,Recursos Humanos,17,Media,Sí,7561.29
2822,51,Secundaria,31,Recursos Humanos,13,Alta,Sí,6793.2
2823,60,Universitaria,36,TI,10,Alta,No,8215.37
2824,42,Técnica,23,Marketing,14,Muy Alta,No,6402.04
2825,27,Postgrado,7,TI,8,Muy Alta,No,5182.29
2826,38,Técnica,19,Marketing,7,Alta,Sí,5785.01
2827,63,Técnica,40,TI,12,Muy Alta,No,8496.0
2828,56,Universitaria,34,Finanzas,7,Media,Sí,7530.55
2829,44,Universitaria,25,Finanzas,8,Muy Alta,No,6512.88
2830,44,Secundaria,25,Finanzas,7,Media,Sí,5330.46
2831,19,Técnica,0,TI,8,Muy Alta,No,3601.64
2832,58,Técnica,39,Ventas,12,Media,Sí,8090.55
2833,65,Secundaria,40,Recursos Humanos,9,Alta,No,7366.62
2834,30,Secundaria,6,Ventas,9,Muy Alta,No,3581.74
2835,26,Universitaria,6,Recursos Humanos,13,Media,No,4020.57
2836,53,Técnica,29,Marketing,3,Media,Sí,6483.66
2837,39,Postgrado,21,Finanzas,8,Media,No,5858.01
2838,59,Técnica,39,Finanzas,14,Baja,No,7931.69
2839,43,Universitaria,24,Recursos Humanos,7,Alta,No,6215.88
2840,29,Secundaria,8,Finanzas,15,Alta,No,3929.58
2841,34,Universitaria,10,Ventas,13,Media,No,4355.53
2842,31,Postgrado,11,TI,9,Alta,Sí,5089.6
2843,31,Universitaria,10,Finanzas,19,Baja,No,4248.89
2844,51,Universitaria,27,Finanzas,12,Baja,Sí,6207.5
2845,37,Postgrado,19,Marketing,11,Alta,No,5665.28
2846,28,Técnica,5,TI,9,Alta,No,3679.39
2847,33,Secundaria,15,Recursos Humanos,11,Baja,No,4305.62
2848,48,Universitaria,25,TI,11,Alta,No,6669.13
2849,23,Secundaria,1,TI,6,Muy Alta,Sí,3232.78
2850,36,Universitaria,13,Recursos Humanos,10,Alta,No,4927.55
2851,54,Universitaria,32,TI,9,Alta,No,7443.24
2852,21,Universitaria,1,Marketing,9,Media,Sí,3282.83
2853,64,Secundaria,40,Ventas,10,Alta,No,8016.72
2854,21,Secundaria,0,TI,13,Alta,No,2805.9
2855,37,Postgrado,15,Ventas,10,Alta,Sí,6087.68
2856,27,Universitaria,6,Marketing,4,Alta,No,4356.31
2857,41,Técnica,17,Marketing,10,Alta,No,5145.85
2858,52,Universitaria,28,TI,12,Media,No,6722.02
2859,43,Postgrado,20,Finanzas,9,Media,No,5698.24
2860,54,Técnica,31,TI,11,Muy Alta,Sí,7310.02
2861,55,Secundaria,32,Ventas,3,Alta,No,6370.03
2862,38,Universitaria,16,Marketing,8,Alta,No,5188.75
2863,57,Postgrado,34,Ventas,13,Alta,Sí,8448.05
2864,56,Postgrado,34,Ventas,14,Baja,No,7369.85
2865,38,Universitaria,16,Recursos Humanos,12,Alta,Sí,5917.51
2866,27,Técnica,8,Marketing,11,Alta,Sí,4013.52
2867,55,Técnica,36,Marketing,10,Muy Alta,No,7960.84
2868,63,Secundaria,40,Ventas,9,Muy Alta,Sí,7681.92
2869,21,Universitaria,0,Marketing,10,Media,No,3304.95
2870,62,Secundaria,40,TI,7,Baja,No,7260.28
2871,37,Técnica,17,Recursos Humanos,4,Alta,Sí,5444.0
2872,34,Universitaria,16,TI,12,Baja,Sí,5189.3
2873,24,Técnica,5,Finanzas,8,Media,Sí,3325.21
2874,21,Secundaria,0,Finanzas,4,Media,Sí,2224.85
2875,46,Técnica,28,Ventas,8,Media,Sí,6429.99
2876,31,Universitaria,12,Finanzas,6,Baja,No,5099.13
2877,20,Universitaria,0,TI,12,Media,No,3168.33
2878,41,Universitaria,20,Finanzas,7,Media,Sí,6264.75
2879,54,Postgrado,32,Ventas,14,Muy Alta,No,8227.37
2880,33,Universitaria,13,Marketing,3,Baja,Sí,4996.97
2881,21,Técnica,0,Recursos Humanos,11,Alta,No,2806.64
2882,41,Técnica,22,Ventas,7,Alta,Sí,6092.07
2883,51,Universitaria,29,Ventas,11,Media,Sí,7092.28
2884,47,Técnica,29,Ventas,8,Muy Alta,No,6825.48
2885,35,Universitaria,11,TI,13,Alta,No,4928.56
2886,36,Universitaria,12,Marketing,8,Baja,No,4349.54
2887,48,Postgrado,25,Ventas,13,Media,No,6860.58
2888,36,Técnica,15,Marketing,4,Alta,Sí,5391.95
2889,63,Técnica,39,Ventas,6,Muy Alta,No,7402.51
2890,36,Universitaria,17,TI,6,Media,No,5342.75
2891,39,Postgrado,18,Ventas,7,Alta,Sí,5697.84
2892,41,Postgrado,19,Finanzas,7,Alta,Sí,6049.5
2893,62,Técnica,39,TI,2,Media,No,7692.27
2894,29,Secundaria,9,Ventas,11,Alta,No,3978.4
2895,47,Técnica,26,Ventas,12,Alta,No,6125.38
2896,55,Secundaria,37,Ventas,13,Baja,No,7442.69
2897,48,Universitaria,29,Finanzas,17,Alta,No,7087.95
2898,53,Secundaria,35,Finanzas,9,Alta,Sí,6964.55
2899,36,Técnica,15,Ventas,8,Alta,No,5045.08
2900,65,Secundaria,40,Finanzas,12,Alta,No,7109.49
2901,62,Técnica,40,Ventas,7,Alta,No,8056.74
2902,53,Secundaria,33,Finanzas,3,Alta,Sí,6785.35
2903,47,Universitaria,29,Marketing,8,Muy Alta,No,7569.76
2904,50,Universitaria,28,Ventas,9,Baja,No,6131.95
2905,35,Técnica,13,Ventas,9,Alta,No,4964.99
2906,45,Técnica,22,Recursos Humanos,14,Alta,Sí,5955.94
2907,64,Técnica,40,Recursos Humanos,13,Alta,No,8212.46
2908,28,Universitaria,10,TI,9,Muy Alta,No,5205.59
2909,62,Secundaria,40,Marketing,4,Alta,No,7702.24
2910,50,Secundaria,32,Marketing,8,Alta,No,6926.93
2911,34,Universitaria,13,TI,13,Alta,No,5174.52
2912,23,Postgrado,0,Recursos Humanos,8,Media,Sí,3594.47
2913,21,Técnica,0,TI,13,Media,No,3490.52
2914,37,Secundaria,15,Recursos Humanos,7,Muy Alta,Sí,4323.29
2915,65,Técnica,40,Ventas,9,Media,No,7388.03
2916,64,Universitaria,40,TI,9,Alta,Sí,8345.5
2917,44,Universitaria,23,Finanzas,8,Alta,No,6030.75
2918,32,Técnica,9,Recursos Humanos,11,Media,No,4027.37
2919,23,Secundaria,5,Ventas,17,Alta,No,3449.82
2920,64,Técnica,40,Finanzas,10,Media,No,7550.77
2921,31,Postgrado,13,Finanzas,14,Alta,No,5562.99
2922,28,Técnica,5,Marketing,16,Alta,No,3436.15
2923,56,Universitaria,32,Recursos Humanos,5,Muy Alta,Sí,7823.14
2924,26,Postgrado,3,Ventas,8,Muy Alta,Sí,4389.87
2925,43,Técnica,23,Recursos Humanos,8,Alta,Sí,5995.77
2926,33,Técnica,15,Ventas,13,Media,Sí,4572.69
2927,22,Secundaria,0,Recursos Humanos,8,Alta,No,3469.52
2928,27,Postgrado,6,Finanzas,8,Alta,Sí,4516.22
2929,20,Secundaria,0,Marketing,15,Media,No,3133.06
2930,30,Técnica,7,TI,7,Muy Alta,Sí,4008.39
2931,60,Secundaria,40,Recursos Humanos,7,Media,No,7246.81
2932,47,Técnica,23,Finanzas,13,Muy Alta,Sí,6372.64
2933,62,Postgrado,40,TI,15,Alta,No,8739.74
2934,23,Universitaria,3,TI,6,Muy Alta,No,3884.36
2935,34,Secundaria,15,TI,10,Alta,No,4579.83
2936,62,Postgrado,39,Finanzas,5,Alta,Sí,9007.13
2937,36,Universitaria,17,Ventas,8,Alta,No,5102.12
2938,59,Postgrado,40,TI,12,Alta,No,8940.87
2939,52,Universitaria,32,Marketing,7,Baja,Sí,7173.23
2940,63,Universitaria,40,Ventas,14,Alta,Sí,8605.5
2941,43,Universitaria,23,Finanzas,7,Muy Alta,No,5938.52
2942,22,Técnica,0,TI,17,Muy Alta,Sí,3763.31
2943,46,Técnica,26,Finanzas,12,Muy Alta,No,5969.65
2944,54,Universitaria,35,Finanzas,10,Alta,Sí,7706.66
2945,37,Secundaria,15,TI,15,Alta,No,4443.67
2946,38,Universitaria,16,Finanzas,8,Muy Alta,No,5582.42
2947,27,Postgrado,7,Marketing,13,Media,No,4444.52
2948,22,Universitaria,0,Marketing,11,Alta,Sí,3570.66
2949,53,Postgrado,32,Recursos Humanos,11,Alta,No,7671.56
2950,23,Secundaria,5,TI,9,Media,No,3468.66
2951,43,Universitaria,20,TI,8,Alta,No,6701.85
2952,21,Postgrado,0,TI,8,Media,No,3090.78
2953,56,Universitaria,35,Recursos Humanos,11,Alta,No,7443.99
2954,56,Universitaria,33,Marketing,10,Alta,No,7460.12
2955,52,Postgrado,31,Marketing,8,Alta,No,7415.18
2956,18,Postgrado,0,TI,14,Alta,Sí,3960.9
2957,41,Universitaria,19,Finanzas,13,Alta,Sí,5888.25
2958,53,Universitaria,35,Ventas,8,Muy Alta,No,7970.25
2959,23,Universitaria,2,Ventas,10,Alta,Sí,4346.57
2960,58,Técnica,38,TI,9,Alta,No,8147.08
2961,63,Técnica,40,TI,9,Media,No,7472.98
2962,61,Técnica,37,Marketing,9,Muy Alta,Sí,7644.26
2963,48,Secundaria,26,Marketing,10,Alta,Sí,5703.79
2964,37,Universitaria,14,Finanzas,14,Media,No,4593.88
2965,41,Universitaria,21,Marketing,13,Alta,No,5509.91
2966,42,Postgrado,22,Ventas,8,Baja,Sí,6659.0
2967,53,Universitaria,32,Ventas,9,Alta,Sí,7741.26
2968,38,Universitaria,18,Marketing,3,Media,No,5265.4
2969,47,Universitaria,29,Ventas,14,Media,Sí,6908.42
2970,41,Universitaria,21,Ventas,9,Baja,No,5359.92
2971,61,Técnica,40,Ventas,9,Alta,No,7586.65
2972,59,Postgrado,36,Ventas,11,Muy Alta,Sí,8762.47
2973,47,Universitaria,27,Recursos Humanos,12,Media,Sí,6811.32
2974,39,Universitaria,17,TI,9,Alta,Sí,5417.0
2975,45,Universitaria,21,Finanzas,11,Media,Sí,6473.05
2976,24,Técnica,2,Recursos Humanos,9,Baja,No,3400.59
2977,52,Secundaria,30,Finanzas,12,Media,No,5877.58
2978,45,Técnica,22,Recursos Humanos,10,Baja,No,4975.4
2979,31,Universitaria,12,Recursos Humanos,7,Media,No,4840.6
2980,27,Universitaria,3,Finanzas,8,Muy Alta,Sí,4877.07
2981,33,Secundaria,11,TI,13,Muy Alta,Sí,4215.71
2982,33,Secundaria,11,Marketing,10,Media,Sí,4295.04
2983,48,Universitaria,29,Recursos Humanos,2,Alta,No,6799.52
2984,59,Postgrado,36,TI,9,Muy Alta,No,8570.27
2985,42,Secundaria,18,Marketing,14,Media,Sí,4303.49
2986,30,Universitaria,8,Finanzas,11,Media,No,4017.48
2987,23,Universitaria,2,Recursos Humanos,14,Alta,No,3843.83
2988,61,Universitaria,38,Marketing,3,Media,No,7917.76
2989,26,Técnica,2,TI,8,Muy Alta,No,2977.36
2990,62,Universitaria,40,Marketing,12,Media,Sí,8013.54
2991,53,Universitaria,31,Finanzas,12,Alta,Sí,7184.08
2992,60,Universitaria,40,Marketing,6,Alta,Sí,8625.45
2993,37,Postgrado,13,Ventas,15,Alta,Sí,5535.35
2994,35,Secundaria,14,Recursos Humanos,12,Media,No,4410.26
2995,60,Técnica,37,TI,11,Baja,No,7606.29
2996,38,Postgrado,18,TI,10,Muy Alta,No,6161.15
2997,21,Universitaria,3,Recursos Humanos,9,Media,Sí,3999.06
2998,50,Universitaria,29,Recursos Humanos,6,Media,Sí,7206.57
2999,44,Postgrado,24,Ventas,5,Baja,No,6211.88
3000,24,Universitaria,3,Ventas,15,Media,No,3546.24
3001,23,Universitaria,0,TI,6,Media,No,3498.23
3002,32,Secundaria,12,Marketing,5,Alta,No,4344.66
3003,35,Universitaria,11,Recursos Humanos,13,Media,No,4979.19
3004,49,Universitaria,29,Ventas,11,Media,No,6914.87
3005,28,Universitaria,7,Ventas,8,Media,No,4046.98
3006,37,Técnica,18,Ventas,10,Media,No,5170.35
3007,41,Secundaria,20,Marketing,8,Alta,No,5027.62
3008,32,Técnica,8,TI,5,Media,Sí,3420.47
3009,65,Técnica,40,TI,11,Baja,Sí,7963.34
3010,24,Universitaria,4,Ventas,18,Alta,Sí,3830.16
3011,38,Secundaria,20,Marketing,8,Media,Sí,5244.41
3012,59,Técnica,39,Marketing,10,Muy Alta,Sí,8193.34
3013,43,Técnica,21,TI,10,Muy Alta,No,5945.04
3014,61,Universitaria,40,Recursos Humanos,12,Baja,No,7520.73
3015,31,Postgrado,8,Ventas,7,Alta,No,4347.99
3016,54,Universitaria,33,Marketing,7,Alta,No,7441.42
3017,38,Técnica,19,Recursos Humanos,11,Muy Alta,Sí,5817.83
3018,35,Universitaria,11,Finanzas,9,Media,Sí,4855.95
3019,22,Técnica,0,Ventas,10,Alta,No,2949.98
3020,20,Universitaria,0,Finanzas,13,Alta,No,3181.54
3021,40,Secundaria,21,TI,10,Alta,Sí,5683.58
3022,43,Secundaria,22,TI,11,Media,No,5799.15
3023,54,Secundaria,34,TI,7,Alta,No,7020.03
3024,41,Universitaria,21,Marketing,12,Media,Sí,6277.13
3025,36,Secundaria,14,Marketing,8,Baja,Sí,3675.41
3026,42,Secundaria,20,Recursos Humanos,12,Baja,No,5068.85
3027,38,Técnica,20,Finanzas,15,Alta,No,5403.03
3028,29,Universitaria,7,TI,10,Alta,Sí,4402.67
3029,58,Secundaria,34,TI,11,Alta,Sí,7434.89
3030,50,Técnica,27,Marketing,13,Baja,No,5870.78
3031,21,Técnica,1,Marketing,12,Alta,Sí,3620.32
3032,59,Postgrado,37,Marketing,6,Media,No,7962.39
3033,24,Técnica,6,Ventas,13,Muy Alta,Sí,3742.05
3034,39,Universitaria,18,Finanzas,11,Media,Sí,5847.32
3035,50,Técnica,27,Finanzas,8,Alta,Sí,6552.59
3036,34,Universitaria,12,Ventas,8,Media,No,4777.77
3037,41,Secundaria,21,TI,6,Alta,No,5394.1
3038,51,Postgrado,30,Recursos Humanos,11,Muy Alta,No,8088.67
3039,45,Técnica,21,Recursos Humanos,12,Media,No,5480.32
3040,60,Secundaria,40,TI,7,Alta,No,6848.27
3041,58,Universitaria,37,Recursos Humanos,7,Alta,No,8371.54
3042,56,Universitaria,32,Marketing,14,Media,Sí,7396.27
3043,39,Técnica,15,Finanzas,9,Alta,No,4659.71
3044,34,Técnica,11,Marketing,10,Alta,No,4738.58
3045,51,Técnica,31,Recursos Humanos,14,Media,No,6298.49
3046,23,Secundaria,1,Recursos Humanos,12,Alta,No,2270.52
3047,63,Universitaria,40,Finanzas,6,Alta,No,8606.6
3048,23,Postgrado,5,Marketing,12,Muy Alta,No,5008.69
3049,51,Postgrado,30,Finanzas,12,Media,No,7612.7
3050,18,Postgrado,0,Recursos Humanos,11,Muy Alta,No,3918.17
3051,27,Universitaria,8,Finanzas,11,Alta,Sí,4519.54
3052,38,Universitaria,16,Finanzas,6,Alta,No,5264.81
3053,22,Técnica,1,Recursos Humanos,10,Alta,No,2843.67
3054,19,Postgrado,0,Finanzas,14,Alta,No,3755.81
3055,39,Técnica,21,Marketing,12,Alta,No,5585.32
3056,65,Técnica,40,Recursos Humanos,16,Media,No,7420.54
3057,19,Postgrado,0,Finanzas,11,Muy Alta,No,4488.28
3058,27,Universitaria,4,TI,8,Muy Alta,Sí,4098.76
3059,51,Técnica,33,Marketing,5,Muy Alta,Sí,7889.95
3060,33,Secundaria,14,Marketing,8,Baja,No,4346.75
3061,65,Secundaria,40,Marketing,5,Muy Alta,No,7839.6
3062,56,Secundaria,32,Ventas,14,Muy Alta,Sí,6594.9
3063,39,Postgrado,21,Recursos Humanos,8,Alta,Sí,6727.85
3064,29,Postgrado,5,Ventas,12,Muy Alta,Sí,5421.05
3065,41,Técnica,21,Finanzas,11,Media,No,5279.41
3066,64,Técnica,40,Recursos Humanos,7,Baja,No,7667.65
3067,57,Universitaria,35,Marketing,13,Media,Sí,7567.46
3068,55,Técnica,37,Marketing,10,Baja,No,6666.82
3069,27,Técnica,3,Marketing,10,Alta,Sí,3678.21
3070,52,Postgrado,34,Marketing,10,Muy Alta,No,8055.8
3071,49,Técnica,30,Finanzas,9,Media,Sí,6307.51
3072,24,Postgrado,4,TI,9,Alta,No,4614.6
3073,38,Técnica,20,Recursos Humanos,8,Alta,Sí,5450.33
3074,37,Técnica,15,TI,6,Media,No,4547.97
3075,43,Postgrado,19,Recursos Humanos,6,Muy Alta,No,6495.78
3076,21,Secundaria,0,Marketing,9,Muy Alta,Sí,2793.07
3077,63,Universitaria,39,Ventas,10,Media,Sí,8359.01
3078,39,Secundaria,21,Finanzas,10,Alta,Sí,5528.39
3079,32,Postgrado,9,Recursos Humanos,8,Media,No,4805.43
3080,57,Universitaria,33,Marketing,10,Alta,Sí,7978.24
3081,38,Técnica,15,Ventas,9,Media,No,4595.26
3082,32,Técnica,12,Marketing,8,Media,No,4097.7
3083,39,Secundaria,17,Finanzas,9,Alta,Sí,4215.04
3084,45,Técnica,22,Ventas,15,Muy Alta,Sí,5932.02
3085,31,Postgrado,9,Recursos Humanos,7,Alta,No,4860.05
3086,44,Universitaria,20,Recursos Humanos,10,Alta,Sí,5881.16
3087,58,Universitaria,34,Recursos Humanos,12,Baja,Sí,7433.08
3088,57,Postgrado,37,Recursos Humanos,9,Baja,No,7496.83
3089,45,Universitaria,21,Ventas,10,Alta,Sí,6044.25
3090,43,Secundaria,23,Finanzas,7,Alta,No,5735.91
3091,19,Universitaria,0,Ventas,10,Alta,Sí,3920.62
3092,42,Universitaria,18,Recursos Humanos,9,Media,No,5931.16
3093,20,Técnica,2,Finanzas,10,Baja,No,2815.98
3094,25,Secundaria,4,TI,11,Baja,No,2509.4
3095,61,Universitaria,40,TI,17,Muy Alta,Sí,8943.11
3096,50,Técnica,29,Ventas,7,Media,Sí,6594.3
3097,59,Universitaria,38,Recursos Humanos,10,Muy Alta,No,8102.48
3098,52,Técnica,30,TI,11,Media,Sí,6386.79
3099,23,Secundaria,3,TI,12,Alta,No,2865.34
3100,56,Técnica,34,Marketing,6,Media,Sí,7061.41
3101,40,Postgrado,17,Marketing,11,Alta,No,6696.92
3102,42,Secundaria,23,Finanzas,5,Muy Alta,Sí,5892.1
3103,60,Técnica,37,Finanzas,13,Muy Alta,No,8067.98
3104,36,Técnica,18,Recursos Humanos,13,Alta,No,5025.27
3105,22,Postgrado,3,TI,6,Alta,Sí,3691.66
3106,28,Secundaria,6,Ventas,5,Muy Alta,Sí,4045.09
3107,29,Técnica,5,Ventas,9,Media,No,3239.26
3108,27,Técnica,3,Marketing,3,Alta,No,3175.93
3109,25,Técnica,3,Finanzas,6,Alta,No,3487.23
3110,41,Universitaria,18,Recursos Humanos,13,Media,No,5918.06
3111,45,Técnica,23,Marketing,14,Baja,Sí,5953.62
3112,58,Universitaria,36,Marketing,13,Media,No,7429.1
3113,53,Universitaria,32,Recursos Humanos,8,Alta,No,7423.75
3114,54,Técnica,36,Recursos Humanos,9,Alta,No,7614.99
3115,38,Técnica,14,TI,11,Baja,Sí,4743.97
3116,25,Técnica,4,Recursos Humanos,15,Alta,No,3559.75
3117,26,Técnica,4,Recursos Humanos,8,Media,Sí,3721.78
3118,64,Secundaria,40,Marketing,11,Baja,Sí,7514.4
3119,32,Postgrado,11,Marketing,13,Muy Alta,No,5507.68
3120,65,Universitaria,40,Ventas,10,Media,No,7755.08
3121,63,Técnica,39,Ventas,9,Alta,Sí,7978.16
3122,57,Técnica,35,Ventas,12,Alta,No,7643.38
3123,35,Universitaria,17,Recursos Humanos,8,Alta,No,4877.12
3124,59,Postgrado,36,TI,10,Media,Sí,8485.08
3125,37,Postgrado,18,Marketing,8,Alta,No,6258.61
3126,23,Universitaria,2,Finanzas,12,Media,Sí,3821.98
3127,29,Universitaria,8,TI,9,Alta,Sí,4756.52
3128,19,Técnica,0,Finanzas,8,Baja,Sí,2893.37
3129,24,Universitaria,2,Recursos Humanos,11,Media,No,3256.21
3130,33,Postgrado,15,Finanzas,14,Media,Sí,5546.45
3131,20,Técnica,0,Ventas,16,Alta,No,3192.38
3132,62,Técnica,40,Marketing,7,Alta,No,7858.95
3133,20,Secundaria,0,TI,7,Muy Alta,Sí,3248.49
3134,44,Postgrado,24,Ventas,11,Media,No,6637.08
3135,60,Secundaria,40,Marketing,9,Media,No,7404.22
3136,57,Universitaria,36,Ventas,10,Alta,No,7982.63
3137,55,Secundaria,36,TI,12,Muy Alta,Sí,7675.04
3138,50,Universitaria,29,Recursos Humanos,9,Media,Sí,6607.91
3139,45,Universitaria,23,Finanzas,18,Media,No,6451.33
3140,18,Universitaria,0,Recursos Humanos,10,Media,Sí,3261.24
3141,25,Universitaria,1,Finanzas,11,Media,Sí,3678.86
3142,54,Técnica,36,Finanzas,11,Baja,No,7005.86
3143,49,Universitaria,31,TI,7,Media,Sí,7160.52
3144,65,Técnica,40,TI,11,Alta,No,8324.18
3145,60,Técnica,39,Recursos Humanos,10,Media,No,7576.39
3146,54,Secundaria,34,Marketing,7,Muy Alta,No,7175.67
3147,21,Universitaria,0,Marketing,9,Alta,No,3812.71
3148,47,Universitaria,23,Recursos Humanos,12,Alta,No,6512.24
3149,23,Técnica,0,Finanzas,15,Alta,No,3328.07
3150,63,Técnica,40,TI,5,Media,No,8356.41
3151,36,Universitaria,13,Recursos Humanos,10,Media,Sí,5036.64
3152,49,Universitaria,27,Marketing,6,Muy Alta,No,7229.41
3153,26,Postgrado,6,Finanzas,16,Muy Alta,No,5604.79
3154,29,Secundaria,9,Marketing,11,Alta,No,3715.01
3155,28,Técnica,5,Finanzas,11,Media,No,4046.67
3156,63,Postgrado,40,Marketing,12,Media,No,8611.84
3157,33,Universitaria,15,Ventas,12,Media,Sí,5779.9
3158,18,Técnica,0,Finanzas,15,Media,Sí,3178.95
3159,62,Técnica,40,Finanzas,2,Alta,Sí,8318.66
3160,38,Postgrado,15,Finanzas,8,Media,Sí,5180.4
3161,47,Universitaria,25,Ventas,11,Media,No,5957.59
3162,30,Secundaria,12,Ventas,12,Baja,No,4041.65
3163,51,Secundaria,29,Marketing,5,Alta,Sí,6607.57
3164,21,Universitaria,1,TI,6,Muy Alta,No,3567.7
3165,45,Secundaria,26,Marketing,11,Alta,Sí,6293.27
3166,55,Técnica,35,Finanzas,12,Muy Alta,No,7685.84
3167,48,Universitaria,24,Finanzas,7,Muy Alta,No,6739.11
3168,44,Técnica,25,Marketing,11,Alta,No,6476.88
3169,22,Técnica,0,Recursos Humanos,17,Media,Sí,2738.49
3170,42,Secundaria,20,TI,8,Media,No,5240.02
3171,20,Universitaria,0,Ventas,8,Alta,No,3641.45
3172,50,Secundaria,28,TI,10,Media,No,5747.14
3173,21,Universitaria,3,Recursos Humanos,12,Alta,No,3514.92
3174,42,Universitaria,20,Marketing,15,Media,Sí,5738.24
3175,37,Postgrado,18,Marketing,9,Media,Sí,5852.53
3176,51,Universitaria,31,Finanzas,15,Alta,Sí,7267.8
3177,43,Técnica,22,Marketing,13,Media,No,5652.53
3178,22,Postgrado,0,Recursos Humanos,10,Alta,No,4198.08
3179,52,Universitaria,30,Marketing,10,Alta,Sí,7362.61
3180,45,Técnica,23,Marketing,8,Alta,Sí,5744.19
3181,46,Técnica,26,Recursos Humanos,9,Alta,No,6371.3
3182,26,Técnica,5,Ventas,10,Muy Alta,No,3847.46
3183,55,Secundaria,32,TI,4,Alta,Sí,6642.39
3184,23,Secundaria,0,Marketing,4,Alta,Sí,2764.68
3185,36,Secundaria,14,TI,6,Muy Alta,No,4738.78
3186,61,Técnica,39,TI,9,Media,Sí,7799.36
3187,28,Técnica,5,Finanzas,4,Media,No,3339.66
3188,19,Secundaria,0,Ventas,8,Media,No,2702.47
3189,64,Universitaria,40,TI,12,Alta,No,8257.47
3190,61,Secundaria,40,Finanzas,16,Muy Alta,No,7724.61
3191,61,Postgrado,40,Recursos Humanos,12,Muy Alta,Sí,9053.79
3192,26,Secundaria,6,Recursos Humanos,13,Alta,No,3483.67
3193,38,Postgrado,17,Recursos Humanos,11,Media,No,5554.3
3194,41,Técnica,19,Recursos Humanos,12,Muy Alta,Sí,6090.22
3195,51,Postgrado,27,Recursos Humanos,14,Muy Alta,Sí,7772.63
3196,39,Universitaria,17,Finanzas,7,Media,No,5161.36
3197,20,Secundaria,2,Ventas,7,Muy Alta,No,3327.25
3198,29,Técnica,5,Ventas,7,Alta,Sí,3776.31
3199,45,Postgrado,21,Finanzas,13,Baja,No,5899.05
3200,47,Técnica,25,Finanzas,7,Muy Alta,No,6166.11
3201,43,Técnica,23,Marketing,10,Baja,Sí,5344.65
3202,65,Secundaria,40,TI,10,Baja,No,7203.16
3203,38,Técnica,18,Recursos Humanos,8,Muy Alta,No,5447.77
3204,45,Técnica,27,TI,10,Media,No,6093.4
3205,43,Universitaria,21,Marketing,9,Alta,No,6394.73
3206,50,Universitaria,32,Ventas,11,Muy Alta,No,7649.52
3207,38,Secundaria,19,Recursos Humanos,8,Muy Alta,No,5373.81
3208,52,Universitaria,28,Ventas,11,Media,Sí,7322.59
3209,51,Universitaria,30,Finanzas,7,Alta,No,7227.83
3210,58,Técnica,36,TI,4,Baja,No,7654.69
3211,64,Técnica,40,Ventas,11,Baja,No,7453.24
3212,35,Postgrado,14,Marketing,9,Muy Alta,No,5733.65
3213,28,Universitaria,6,Ventas,13,Alta,No,4547.04
3214,40,Universitaria,19,Recursos Humanos,16,Media,Sí,5139.3
3215,65,Técnica,40,Recursos Humanos,14,Alta,No,8033.38
3216,39,Universitaria,18,TI,12,Media,Sí,6391.62
3217,34,Secundaria,16,Finanzas,7,Muy Alta,No,4618.82
3218,22,Universitaria,1,Recursos Humanos,11,Alta,No,4055.58
3219,61,Técnica,39,Marketing,4,Media,Sí,7716.81
3220,28,Universitaria,5,TI,11,Media,No,4745.43
3221,47,Postgrado,24,Recursos Humanos,6,Muy Alta,No,6686.09
3222,32,Técnica,12,Marketing,10,Muy Alta,No,4577.65
3223,44,Técnica,20,Ventas,4,Muy Alta,Sí,5594.71
3224,52,Secundaria,31,Marketing,6,Alta,No,6556.98
3225,50,Universitaria,27,TI,13,Muy Alta,No,6835.75
3226,37,Universitaria,16,Recursos Humanos,11,Alta,No,5252.15
3227,33,Universitaria,9,Finanzas,7,Alta,No,4669.56
3228,51,Postgrado,28,Finanzas,14,Alta,No,7426.04
3229,19,Postgrado,0,Marketing,13,Alta,Sí,3400.36
3230,52,Universitaria,31,Marketing,11,Alta,No,7495.27
3231,57,Secundaria,35,Marketing,11,Media,No,6441.26
3232,45,Postgrado,24,Recursos Humanos,4,Media,No,6408.65
3233,64,Técnica,40,Finanzas,11,Muy Alta,Sí,8196.38
3234,56,Secundaria,34,Finanzas,12,Alta,No,7006.31
3235,23,Técnica,1,TI,8,Muy Alta,No,3225.68
3236,26,Universitaria,6,TI,12,Alta,Sí,4614.41
3237,37,Técnica,14,Ventas,10,Baja,Sí,4339.18
3238,18,Técnica,0,Recursos Humanos,6,Media,No,3245.26
3239,25,Técnica,3,Marketing,8,Alta,No,3454.63
3240,40,Secundaria,16,TI,11,Media,No,4578.54
3241,20,Universitaria,0,Ventas,12,Baja,No,3418.02
3242,21,Universitaria,2,Ventas,12,Media,No,3497.32
3243,42,Universitaria,21,Finanzas,8,Alta,No,6666.33
