Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
16.82,Evening,Weekday,4.0,Low,Snow,4.94,1.14,0.44,93.3,65.1668
39.96,Afternoon,Weekday,4.0,Low,Clear,3.89,1.0,0.2,9.66,45.782000000000004
14.27,Evening,Weekday,2.0,,Rain,3.25,0.97,0.11,19.13,19.196199999999997
22.51,Morning,Weekday,4.0,,Clear,2.5,1.66,0.19,28.35,45.253099999999996
4.84,Evening,,3.0,Medium,Rain,4.96,0.58,0.12,51.22,13.913599999999999
2.24,Afternoon,Weekday,1.0,Low,Clear,4.46,0.52,0.14,102.26,19.941200000000002
48.17,Evening,Weekend,3.0,Medium,Clear,,1.69,0.27,44.82,96.34870000000001
41.96,Afternoon,Weekend,4.0,Low,Rain,2.21,1.22,0.19,80.28,68.65440000000001
35.1,Afternoon,Weekday,2.0,,Rain,2.17,0.7,0.31,86.57,53.5767
21.04,Afternoon,Weekday,2.0,Low,Rain,2.36,0.85,0.2,72.41,34.726
9.49,Evening,,3.0,High,Rain,3.74,1.9,0.48,46.08,43.889399999999995
8.67,Morning,Weekday,2.0,High,Rain,4.79,1.79,0.46,71.36,53.1349
13.26,Morning,Weekday,4.0,Medium,Clear,3.49,1.56,0.33,44.36,38.814400000000006
27.91,Morning,Weekend,3.0,Low,Clear,4.53,1.22,0.24,,42.096199999999996
36.02,Morning,Weekend,2.0,Low,Clear,3.34,1.28,,119.17,79.2381
33.35,Evening,Weekday,1.0,High,Clear,4.13,1.96,0.26,19.63,74.59979999999999
14.72,Morning,Weekday,,Low,Clear,4.2,1.95,0.39,13.32,38.098800000000004
47.79,,Weekend,4.0,Low,Clear,2.52,0.82,0.28,106.03,71.3962
37.16,Afternoon,Weekend,2.0,Low,,3.08,1.72,0.44,39.71,84.4676
28.16,Morning,Weekend,,,Clear,3.91,0.8,0.48,79.78,64.7324
,Evening,Weekday,3.0,Medium,Clear,2.21,0.82,0.23,42.84,37.458600000000004
21.56,Afternoon,Weekday,1.0,High,Clear,,1.51,0.32,50.02,
13.14,,Weekday,3.0,Low,Clear,3.6,1.11,0.14,35.14,23.105000000000004
18.44,Afternoon,Weekday,2.0,Low,Rain,4.99,1.9,0.18,44.45,48.027
38.13,,Weekday,4.0,High,Rain,3.42,0.63,0.27,52.23,41.544000000000004
1.71,Morning,Weekday,4.0,High,Clear,4.45,1.27,0.18,87.85,22.4347
6.69,Night,Weekday,4.0,Low,Clear,3.3,1.88,0.45,,44.6007
3.25,Night,Weekday,3.0,Medium,Clear,4.39,1.86,0.16,,28.5966
3.0,Afternoon,Weekday,1.0,Low,Clear,3.79,0.73,0.28,9.82,8.729600000000001
42.92,Morning,Weekday,3.0,High,Clear,4.66,1.05,0.34,62.85,71.095
35.48,Afternoon,Weekday,3.0,Low,Clear,3.23,1.43,0.38,72.19,81.39859999999999
116.66768073006571,Morning,Weekday,2.0,High,Clear,3.81,0.74,0.25,110.82,248.29520891209057
5.79,Morning,Weekday,2.0,Medium,Clear,3.89,1.95,0.45,10.65,19.973
25.09,Morning,Weekend,2.0,Medium,Snow,3.25,1.87,0.33,70.95,73.5818
24.2,Afternoon,Weekday,1.0,Low,Snow,2.43,0.75,0.28,103.17,49.467600000000004
9.49,Evening,Weekday,1.0,Medium,Clear,2.28,0.68,0.13,32.82,12.9998
22.26,Evening,Weekday,2.0,Medium,Clear,,0.63,0.29,105.77,46.7471
,Evening,,,Low,Clear,4.62,1.86,0.43,7.19,45.89750000000001
31.18,Afternoon,Weekday,1.0,Medium,Clear,2.71,0.79,0.35,89.23,58.5727
32.12,Afternoon,Weekday,4.0,High,Rain,2.63,1.12,0.43,112.31,86.89770000000001
3.22,Afternoon,Weekday,1.0,Medium,Clear,4.21,1.17,0.3,80.58,32.151399999999995
19.36,Night,Weekday,1.0,Medium,Rain,2.96,1.4,0.15,55.49,38.3875
31.67,Morning,Weekday,1.0,Low,Clear,3.52,,0.11,10.16,23.9563
25.65,Evening,Weekday,2.0,Medium,Snow,2.49,0.84,0.22,110.81,48.4142
42.97,Afternoon,Weekend,4.0,Low,Clear,4.88,1.9,0.38,59.08,108.9734
33.28,,Weekday,1.0,Medium,Rain,4.55,1.86,0.42,8.33,69.9494
8.98,Evening,,2.0,High,Clear,4.59,1.67,0.22,84.33,38.1392
4.46,Afternoon,Weekend,3.0,Medium,Clear,3.22,0.53,0.3,60.41,23.706799999999998
32.48,Evening,Weekday,3.0,Low,Clear,4.29,0.99,0.27,19.3,41.65619999999999
2.3,Night,Weekend,,Low,Clear,2.43,1.44,0.26,29.64,13.4484
,Afternoon,Weekday,3.0,Medium,Rain,2.03,0.91,0.19,12.42,31.416800000000002
47.07,Morning,Weekday,4.0,Medium,Rain,2.06,1.86,0.15,71.04,100.26620000000001
29.2,Afternoon,Weekday,3.0,High,Rain,3.76,1.45,0.18,76.53,59.87539999999999
20.02,Night,Weekday,3.0,High,Clear,3.37,0.61,0.12,63.16,23.1614
32.52,Morning,Weekday,4.0,Medium,Rain,3.55,1.86,0.18,98.97,81.85180000000001
23.45,Afternoon,Weekday,1.0,,Clear,2.02,1.94,0.1,104.02,57.915
27.74,Afternoon,Weekday,1.0,Low,Clear,,0.62,0.35,75.8,46.998799999999996
47.13,Evening,Weekday,4.0,Low,Clear,4.15,1.3,0.23,6.47,66.90710000000001
19.92,Morning,Weekday,4.0,Low,Clear,3.33,0.96,0.49,84.95,64.0787
,Evening,Weekday,4.0,Medium,Clear,4.2,1.09,0.18,,66.1816
45.36,Night,Weekday,3.0,Medium,Clear,2.7,0.77,0.24,70.04,54.436800000000005
10.59,Morning,Weekday,4.0,Medium,Clear,4.44,,0.24,79.64,38.061899999999994
4.4,Morning,Weekend,2.0,Low,Rain,3.77,1.94,0.1,45.28,16.834
5.94,Night,Weekday,3.0,Low,Clear,2.63,1.25,0.44,110.47,58.6618
1.89,Morning,Weekend,1.0,Low,Clear,2.71,0.62,0.11,20.41,6.1269
5.63,Evening,Weekday,1.0,Low,Clear,3.88,1.43,,82.22,51.39649999999999
34.47,Afternoon,Weekday,1.0,High,Clear,4.49,1.01,0.46,5.5,41.834700000000005
4.49,Morning,Weekday,3.0,Low,Clear,3.25,1.78,0.31,111.33,45.75449999999999
16.63,Evening,,2.0,Medium,Clear,2.77,1.15,0.32,17.94,27.635299999999997
42.4,Afternoon,,4.0,Low,,4.6,0.79,0.36,15.91,43.823600000000006
2.14,Afternoon,Weekend,4.0,High,Clear,4.01,0.79,0.25,43.3,16.525599999999997
40.91,Afternoon,,1.0,Medium,Clear,3.34,1.65,0.36,47.96,88.1071
14.81,Afternoon,Weekend,1.0,Low,Rain,3.46,0.9,0.12,29.64,20.3458
6.79,Morning,Weekend,3.0,Medium,Clear,2.61,1.65,0.12,72.29,22.488300000000002
35.14,Afternoon,Weekend,2.0,Medium,Clear,3.88,0.81,0.28,55.94,48.006600000000006
31.82,,Weekend,4.0,High,Rain,3.08,0.98,0.32,8.93,37.121199999999995
44.0,Morning,Weekday,3.0,Low,Clear,4.99,1.2,0.46,41.76,76.9996
37.02,Afternoon,Weekday,4.0,High,,3.44,1.91,0.14,,87.89620000000001
40.37,Afternoon,Weekday,1.0,High,Rain,3.46,1.9,0.43,84.32,116.42059999999998
14.82,Evening,Weekday,4.0,High,Clear,3.7,0.81,0.18,88.36,31.609
9.69,Morning,Weekday,2.0,Medium,Clear,4.75,1.04,0.26,85.28,37.0004
37.78,Night,Weekend,2.0,Medium,Clear,4.4,0.72,0.23,40.76,40.9764
40.53,Afternoon,Weekday,1.0,Medium,Clear,3.35,1.26,0.26,16.46,58.6974
49.53,Morning,Weekday,2.0,Medium,Clear,4.16,1.19,0.16,36.33,68.9135
21.22,Morning,Weekday,2.0,Medium,Clear,3.76,1.85,0.3,100.66,73.21499999999999
19.23,Morning,Weekday,3.0,Medium,Clear,3.48,1.9,0.42,117.75,89.472
39.04,Afternoon,Weekday,4.0,Medium,Clear,,1.08,0.28,61.79,62.0444
17.7,Afternoon,Weekend,1.0,Medium,Clear,3.39,1.24,0.3,6.12,27.174
46.61,Evening,Weekday,1.0,High,Clear,2.74,1.84,0.44,21.11,97.79079999999999
43.06,Afternoon,,1.0,Low,Clear,4.74,1.71,0.38,42.04,94.34779999999999
22.02,Morning,Weekday,1.0,High,Clear,,0.51,0.3,71.54,
37.79,Afternoon,,1.0,Medium,Clear,4.86,0.98,0.2,13.64,44.6222
37.97,Evening,Weekday,2.0,High,Rain,3.6,1.13,0.45,113.49,97.57659999999998
6.05,Morning,Weekday,3.0,Medium,Clear,3.89,0.84,0.33,46.98,24.4754
,Morning,,1.0,Low,Clear,3.63,0.8,0.19,109.95,60.704499999999996
25.76,Morning,Weekday,3.0,High,Clear,2.39,0.56,0.21,94.76,36.7152
41.5,Evening,Weekday,3.0,Low,Clear,3.13,1.47,0.42,91.88,102.72459999999998
,Afternoon,Weekday,2.0,High,Rain,2.3,0.89,0.12,74.77,26.117599999999996
44.88,Afternoon,Weekday,1.0,Medium,Clear,3.87,0.58,0.5,77.08,68.4404
20.07,Evening,Weekday,2.0,Medium,Snow,3.34,0.85,0.15,78.37,32.155
1.53,Evening,Weekday,1.0,Low,Clear,4.33,1.7,0.42,77.3,
45.36,Afternoon,Weekend,,Medium,Rain,2.66,1.78,0.26,68.68,101.25760000000001
5.47,,Weekday,3.0,Low,Clear,2.49,1.22,,118.44,44.69539999999999
104.37179088913675,,Weekday,1.0,Low,Rain,3.22,1.12,0.45,89.21,206.50865196831714
47.55,Morning,Weekday,4.0,Low,Clear,4.78,1.97,0.27,94.35,123.928
47.58,Morning,Weekday,3.0,Low,Clear,4.13,0.8,0.31,105.33,74.8463
29.1,Morning,Weekday,4.0,High,Clear,3.26,0.82,0.12,29.8,30.698
31.96,Afternoon,Weekday,3.0,High,Clear,3.55,0.94,,14.64,35.0564
22.97,Night,Weekend,2.0,Low,Rain,2.25,0.76,0.2,60.53,31.813200000000002
15.37,Morning,Weekday,1.0,,Clear,4.95,1.07,0.37,64.12,45.1203
,Morning,Weekday,3.0,Low,Clear,4.0,1.87,0.15,100.36,51.031000000000006
33.95,Afternoon,Weekday,2.0,Medium,Rain,2.86,1.42,0.15,,59.475
37.87,Night,Weekday,1.0,High,Clear,3.76,,0.26,70.65,64.5434
39.79,Afternoon,Weekday,1.0,High,Snow,2.33,1.9,0.36,,101.5506
39.69,Afternoon,Weekday,3.0,Medium,Rain,4.9,0.57,0.38,,31.0915
5.47,Morning,Weekend,1.0,Medium,Clear,2.52,0.82,0.17,75.75,19.8829
25.23,Morning,Weekday,3.0,Low,Rain,3.94,1.35,0.13,100.22,51.0291
,Night,Weekday,1.0,High,Clear,,1.42,0.48,23.11,19.257199999999997
27.93,Night,Weekend,4.0,Low,Clear,4.15,0.56,0.2,73.35,34.4608
22.63,Morning,Weekday,2.0,Medium,Clear,4.33,,0.44,73.27,
44.5,Night,Weekend,4.0,Medium,Clear,4.02,1.47,0.45,23.88,80.18099999999998
,Afternoon,Weekday,,Medium,Rain,3.84,1.55,0.41,19.2,39.9065
6.74,Evening,Weekend,4.0,Low,Rain,4.68,1.46,0.17,117.71,34.5311
8.01,Afternoon,Weekday,3.0,High,Clear,,0.98,0.43,50.28,31.7102
38.31,Afternoon,Weekend,1.0,Low,Clear,2.99,0.64,0.41,31.15,40.2799
31.29,Afternoon,Weekend,1.0,Medium,Snow,2.74,1.14,0.34,24.7,46.8086
5.96,Afternoon,Weekday,,Low,Clear,4.96,0.69,0.23,81.77,27.8795
5.12,Morning,Weekend,4.0,Low,Clear,3.17,1.92,0.21,75.09,28.7693
35.35,Morning,Weekday,1.0,Medium,Clear,4.2,1.21,0.15,79.01,58.825
4.57,,Weekday,2.0,Medium,Rain,4.05,0.98,0.3,15.12,13.0646
41.27,Evening,Weekday,1.0,Low,Clear,2.64,1.65,0.33,107.76,106.2963
,Morning,Weekday,2.0,Low,Rain,2.72,1.25,0.24,49.77,59.1773
,Afternoon,Weekday,4.0,Medium,,2.84,0.97,0.29,41.04,19.581899999999997
5.16,Night,Weekday,2.0,Medium,Clear,3.23,1.72,0.25,58.17,26.6477
49.35,Morning,Weekday,2.0,,Clear,2.7,1.8,0.36,49.86,109.4796
19.34,Afternoon,Weekend,2.0,Low,,2.06,1.51,0.46,104.31,79.24600000000001
19.16,Afternoon,Weekend,2.0,Low,Clear,4.64,0.57,,111.87,34.5791
40.83,Evening,Weekday,1.0,Low,Rain,4.9,1.35,,39.9,69.99549999999999
47.42,Morning,Weekday,2.0,Low,Rain,3.02,1.64,0.16,104.35,97.48479999999999
,Afternoon,Weekday,1.0,Medium,Clear,3.02,0.7,0.35,94.88,70.745
37.92,Evening,Weekday,2.0,Medium,Rain,2.02,0.84,0.39,112.04,77.56840000000001
19.44,Night,Weekday,,Low,,4.04,1.82,0.47,33.26,55.053
5.09,Afternoon,Weekday,4.0,Low,,4.48,0.53,0.21,71.35,
39.08,Afternoon,Weekday,,Low,Clear,2.44,1.63,,36.57,83.694
28.36,,Weekend,3.0,High,Clear,2.48,1.21,0.13,99.77,49.765699999999995
21.79,Evening,Weekday,2.0,High,Clear,4.37,1.17,0.34,5.61,31.7717
45.41,Afternoon,Weekday,2.0,Low,Clear,3.85,0.51,0.12,69.95,35.4031
6.45,Morning,Weekday,2.0,Low,Clear,2.13,1.73,0.46,44.01,33.5331
25.14,Night,Weekday,3.0,High,Rain,3.87,1.04,0.31,42.11,43.069700000000005
1.56,Afternoon,Weekday,4.0,High,Clear,2.93,1.31,0.37,79.16,34.2628
23.96,Afternoon,Weekday,3.0,,Clear,3.11,1.52,0.43,102.92,83.7848
3.76,Morning,Weekday,4.0,,Clear,4.31,1.55,0.16,75.06,22.147599999999997
6.82,Afternoon,Weekday,2.0,Low,,4.43,1.93,0.12,103.11,29.965799999999994
6.76,Afternoon,Weekend,,Medium,Clear,3.2,1.3,0.45,35.43,27.9315
32.81,Afternoon,Weekend,,Low,Clear,4.84,,0.23,64.74,55.82120000000001
37.56,Morning,Weekday,4.0,Low,,3.22,1.93,0.15,56.81,84.23230000000001
29.59,Afternoon,Weekday,3.0,Medium,Rain,4.32,1.46,0.29,6.34,49.36
48.15,Night,Weekday,2.0,Low,Clear,3.45,0.95,0.34,69.03,72.6627
19.37,Morning,Weekday,3.0,Medium,Clear,4.69,0.69,0.11,81.08,26.9741
15.0,Night,Weekday,3.0,Low,Snow,4.72,1.76,0.21,73.07,46.46469999999999
43.56,Afternoon,Weekday,3.0,Low,Rain,2.26,1.04,0.11,89.67,57.426100000000005
11.96,Evening,Weekday,2.0,Medium,Snow,4.81,1.49,0.27,70.7,41.71940000000001
48.2,,Weekday,3.0,Low,Clear,4.48,1.21,0.46,12.68,68.63480000000001
,Afternoon,Weekday,3.0,High,Clear,4.37,0.8,0.49,18.39,14.661100000000001
48.52,Evening,Weekend,2.0,Medium,,2.6,1.4,0.35,73.59,96.2845
3.11,Evening,Weekend,3.0,Low,Clear,4.42,0.59,0.16,36.62,12.114099999999999
44.67,Afternoon,Weekend,2.0,Medium,Rain,4.55,1.12,0.46,14.16,61.09400000000001
26.86,Afternoon,Weekday,4.0,Low,Clear,2.87,1.32,0.31,54.4,55.1892
49.66,Afternoon,Weekend,4.0,High,Clear,4.86,1.15,0.16,68.75,72.969
,Evening,Weekday,,Low,Clear,2.15,1.62,0.47,42.81,29.7551
28.14,Evening,Weekend,3.0,Medium,Clear,2.45,,0.4,87.85,86.5536
48.5,Evening,Weekday,1.0,Low,Clear,3.61,1.66,0.39,79.03,114.9417
26.63,Afternoon,Weekend,1.0,Medium,Clear,3.73,0.56,0.38,43.27,35.08540000000001
31.84,Evening,Weekday,3.0,High,Snow,3.94,0.79,0.18,91.81,45.6194
107.78683195771163,Morning,Weekend,1.0,High,Clear,2.05,1.3,0.18,79.6,322.7259960920446
23.27,Afternoon,Weekend,2.0,Low,Clear,4.88,1.9,0.38,78.31,78.85079999999999
31.75,Morning,Weekday,1.0,,Rain,2.13,1.75,0.19,68.64,70.7341
29.63,Afternoon,Weekday,3.0,High,Clear,2.43,1.76,0.28,6.31,56.345600000000005
45.16,Afternoon,Weekend,3.0,High,Clear,2.04,,0.41,85.1,79.833
3.23,Afternoon,Weekday,2.0,Low,Rain,3.7,1.14,0.41,48.24,27.160600000000002
14.77,Afternoon,Weekend,4.0,Medium,Clear,4.8,1.21,0.28,113.4,54.42370000000001
47.57,Afternoon,Weekday,,Low,Rain,4.0,0.74,0.42,99.07,80.81119999999999
44.62,,Weekday,2.0,High,Rain,4.47,0.55,0.44,72.58,60.9462
23.33,Morning,Weekday,1.0,Low,Snow,2.04,1.92,,34.0,59.0736
31.39,Afternoon,Weekday,1.0,Low,Clear,3.63,0.86,0.19,28.43,36.0271
14.59,Morning,Weekend,2.0,Medium,Clear,,0.86,0.21,44.14,25.196799999999996
10.22,Morning,Weekday,2.0,,Clear,3.5,0.63,0.23,59.81,23.694900000000004
23.72,Afternoon,Weekday,3.0,Medium,Clear,2.22,1.89,0.15,39.05,52.9083
18.31,Afternoon,Weekday,1.0,Medium,Rain,4.05,1.37,0.21,64.22,42.6209
29.6,Afternoon,Weekday,2.0,Low,Clear,3.51,1.5,0.18,24.02,52.2336
4.81,Afternoon,Weekend,1.0,Low,Clear,4.3,1.87,0.28,117.44,46.1779
48.75,Afternoon,Weekend,2.0,Medium,Rain,3.46,1.02,0.46,17.41,61.1936
49.32,Evening,Weekday,1.0,Low,Clear,2.45,1.43,0.14,112.17,88.6814
35.21,Afternoon,Weekend,4.0,Medium,Clear,3.94,0.56,0.39,110.06,66.581
27.27,Afternoon,Weekend,3.0,High,Clear,2.52,0.78,0.37,65.42,47.996
16.17,,Weekday,1.0,Medium,Rain,4.62,1.75,0.14,,45.28790000000001
40.88,Afternoon,Weekend,4.0,Low,Clear,,1.65,0.47,55.15,97.2125
34.55,Afternoon,Weekday,1.0,Low,Rain,2.47,1.03,,,63.615
8.97,Afternoon,Weekday,1.0,Low,Clear,4.89,1.07,0.25,44.17,25.5304
45.64,Afternoon,Weekend,4.0,,Rain,3.56,1.3,0.4,39.63,78.744
41.3,Afternoon,Weekday,1.0,Medium,Rain,2.22,,0.2,71.5,37.17
47.54,Afternoon,Weekend,1.0,Medium,Clear,3.88,0.86,0.38,,68.4308
36.56,Evening,Weekend,3.0,Low,Clear,2.76,0.81,0.12,,40.9716
31.06,Evening,Weekday,4.0,Low,Clear,4.41,0.88,0.44,37.97,48.449600000000004
21.49,Evening,Weekend,4.0,Low,Rain,4.45,1.71,0.28,47.2,54.4139
46.7,Night,Weekday,2.0,Medium,Clear,4.94,,0.35,14.65,53.0315
43.44,Morning,Weekday,1.0,Low,Clear,3.51,0.79,0.19,11.01,39.9195
3.22,Morning,Weekday,3.0,,Clear,3.36,,0.37,34.15,20.052699999999998
2.29,Morning,Weekend,1.0,Low,Clear,4.26,1.8,0.41,13.54,13.933399999999999
19.45,Afternoon,Weekday,1.0,High,Clear,2.4,0.86,0.29,16.93,24.0367
40.72,Evening,Weekday,2.0,High,Clear,3.64,0.62,0.35,98.49,63.3579
49.38,Morning,Weekday,1.0,Low,Clear,3.64,1.03,0.28,9.47,57.153000000000006
8.37,Night,Weekend,3.0,Low,Rain,2.27,1.62,,80.78,52.9882
30.11,Morning,Weekday,3.0,Medium,Clear,3.25,1.33,0.3,36.34,54.1983
19.66,Night,Weekday,2.0,Low,Clear,4.56,1.73,0.44,105.23,84.873
48.53,Afternoon,Weekday,1.0,Medium,Snow,4.57,1.94,,60.77,124.24159999999999
42.26,Morning,Weekday,3.0,High,Rain,2.3,1.69,0.26,40.14,84.1558
42.08,Afternoon,Weekend,1.0,Medium,Rain,2.27,1.41,0.19,64.53,73.86349999999999
23.97,Morning,Weekday,1.0,High,Clear,2.79,1.24,0.26,48.93,45.2346
21.33,Morning,Weekday,1.0,Low,Clear,4.62,0.56,0.43,69.89,46.61750000000001
14.4,Afternoon,Weekend,2.0,Low,Clear,2.39,1.98,0.19,18.17,34.3543
3.76,Evening,Weekday,,Medium,Rain,4.16,1.08,0.31,119.65,45.31230000000001
43.37,Afternoon,Weekend,3.0,Low,Clear,2.3,0.73,0.42,53.94,56.61489999999999
40.83,Afternoon,Weekday,1.0,Medium,Clear,3.87,1.5,0.24,45.05,75.92699999999999
49.99,Afternoon,Weekend,3.0,Low,Clear,3.07,0.93,0.36,86.67,80.7619
139.476514583775,Evening,Weekday,1.0,Low,Clear,4.37,1.38,0.2,46.85,296.0886973121837
28.22,Morning,Weekday,3.0,High,Clear,2.7,1.38,0.14,100.83,55.7598
38.68,Afternoon,Weekend,,Low,Clear,3.92,1.17,0.42,57.24,73.2164
47.29,Morning,Weekend,1.0,High,Clear,2.71,1.75,0.14,87.75,97.75249999999998
42.63,Morning,Weekend,1.0,High,Clear,4.14,,0.21,17.36,46.15260000000001
13.12,Afternoon,Weekday,3.0,Medium,Snow,4.62,1.17,0.44,102.3,64.9824
23.08,Morning,Weekend,4.0,Medium,Rain,2.38,1.31,0.24,89.61,54.1212
7.33,Afternoon,Weekend,2.0,Medium,Rain,4.6,1.5,0.49,29.35,29.9765
47.75,Evening,Weekday,4.0,High,Rain,3.78,1.68,0.49,,94.6379
30.7,Morning,Weekend,4.0,Low,Clear,2.38,1.09,0.21,41.37,44.5307
12.2,Afternoon,Weekend,1.0,Medium,Clear,3.28,1.47,0.12,117.25,35.284
33.91,Morning,Weekday,2.0,Medium,Clear,2.48,0.73,0.38,34.54,40.3595
31.29,Night,Weekday,,Medium,Clear,4.1,1.9,0.28,57.45,79.637
18.55,Afternoon,Weekday,1.0,Medium,Clear,4.28,1.07,0.14,,25.311500000000002
6.56,Evening,Weekday,4.0,Low,Clear,2.32,1.59,0.38,50.68,32.0088
33.91,Afternoon,Weekday,4.0,Medium,Clear,,0.53,0.11,,29.2693
26.5,Morning,Weekday,1.0,High,Clear,4.44,0.81,0.45,114.61,77.4795
38.84,Afternoon,Weekday,1.0,Low,Clear,4.81,1.23,,64.42,62.89040000000001
26.49,Night,Weekday,1.0,High,Clear,3.54,1.82,0.15,99.2,66.6318
42.76,Afternoon,Weekday,2.0,Medium,Rain,4.85,1.29,0.17,67.92,71.5568
28.04,Evening,Weekend,4.0,High,Clear,3.61,1.89,0.48,9.69,61.2568
28.49,Evening,Weekend,,Medium,Clear,3.18,1.23,0.38,41.23,53.8901
43.96,Morning,Weekday,3.0,Medium,,4.54,1.24,0.42,71.19,88.9502
20.77,Morning,Weekend,4.0,Low,Clear,3.48,,0.26,,47.3268
7.57,Afternoon,Weekday,3.0,High,Clear,3.42,1.7,0.23,103.8,40.163
2.41,,Weekday,2.0,Low,Clear,3.47,0.87,0.19,31.26,11.5061
38.0,Evening,Weekday,,High,Clear,4.54,1.85,0.29,30.31,83.6299
31.4,Night,Weekday,3.0,,Clear,4.5,1.87,0.32,28.13,72.2196
35.5,Afternoon,Weekend,2.0,Low,Rain,3.21,1.91,0.35,111.09,109.89649999999997
11.44,Morning,Weekend,1.0,Low,Rain,3.0,1.28,0.2,103.06,38.2552
7.68,Evening,Weekday,3.0,Medium,Clear,3.48,1.52,0.48,94.11,60.32639999999999
1.71,Morning,Weekday,3.0,,Clear,3.72,1.67,0.17,50.16,15.1029
18.18,Evening,Weekday,2.0,High,Rain,2.72,0.7,0.49,63.0,46.316
29.91,Afternoon,,1.0,Low,Clear,4.38,1.4,0.11,58.4,52.678
20.22,Afternoon,Weekday,1.0,Low,Clear,3.46,0.55,,34.14,24.4816
22.44,Morning,Weekday,3.0,High,,3.0,1.25,0.23,63.08,45.5584
45.3,Afternoon,Weekend,3.0,Medium,Rain,2.32,0.73,0.28,8.51,37.7718
18.06,Afternoon,Weekend,3.0,High,Clear,2.72,0.77,0.33,20.16,23.279
26.19,Afternoon,Weekday,1.0,Low,,4.85,1.05,0.27,106.96,61.2287
39.4,,Weekend,2.0,Medium,Rain,2.92,1.15,0.27,91.44,72.9188
20.43,Evening,Weekday,2.0,Medium,Clear,2.51,1.43,0.39,53.63,52.6406
31.48,Evening,Weekday,1.0,Medium,,3.38,0.61,0.37,64.47,46.4367
43.26,Morning,Weekday,4.0,Medium,Snow,2.92,1.26,0.43,47.55,77.8741
47.53,Morning,Weekday,2.0,Medium,,2.11,0.77,0.2,90.19,56.7461
8.21,Morning,Weekend,3.0,Medium,Clear,2.97,1.36,0.34,95.18,46.49680000000001
46.4,Afternoon,Weekday,4.0,Low,Clear,3.63,1.46,0.33,92.78,101.9914
25.11,Afternoon,Weekday,4.0,Medium,Clear,3.66,1.34,0.25,88.1,59.3324
13.65,Afternoon,Weekday,2.0,Low,Clear,3.07,1.61,0.29,,
23.5,Morning,Weekday,4.0,Medium,Clear,3.34,1.0,0.23,43.87,36.930099999999996
49.02,Afternoon,Weekend,4.0,Low,Clear,4.9,1.65,0.16,59.03,95.2278
25.14,Afternoon,Weekday,2.0,Medium,Rain,3.13,1.15,0.19,43.04,40.218599999999995
17.11,Afternoon,Weekday,,Medium,,2.77,1.23,,91.82,36.6701
,Night,Weekday,4.0,Low,Clear,2.73,1.47,0.37,42.88,65.6944
12.77,Morning,Weekday,3.0,Low,Clear,3.37,0.53,,20.9,17.662100000000002
4.72,,Weekday,1.0,Low,Rain,4.28,1.48,0.48,50.89,35.6928
7.32,Afternoon,Weekday,4.0,Medium,Clear,2.62,1.43,0.39,117.69,58.9867
122.82019097975328,Afternoon,Weekday,,High,Clear,4.13,0.96,0.12,30.98,247.59831789923132
8.44,Evening,Weekend,3.0,Low,Clear,2.06,0.63,0.45,75.4,41.30720000000001
7.8,Afternoon,Weekend,,Medium,Clear,3.26,0.64,0.45,,32.9075
32.4,Night,Weekend,4.0,Low,Clear,4.33,1.88,0.28,13.17,68.9296
9.91,Morning,Weekday,1.0,Medium,Rain,3.02,1.53,0.33,61.11,38.348600000000005
17.94,Morning,Weekday,1.0,High,Clear,3.69,0.69,0.49,85.75,58.0861
44.94,Evening,Weekday,1.0,Low,Clear,2.61,1.04,0.31,64.02,69.1938
24.22,Afternoon,Weekend,2.0,Medium,Clear,4.23,1.39,0.46,,86.3292
33.71,Morning,Weekday,2.0,Low,Rain,,1.75,0.13,38.23,66.1224
9.44,Morning,Weekday,1.0,Low,Clear,4.56,0.57,0.18,14.92,12.6264
10.42,Morning,Weekday,1.0,Low,Clear,,0.85,0.28,112.71,43.0058
3.0,Evening,Weekday,2.0,Low,Clear,4.62,1.83,0.33,48.49,26.111700000000003
9.28,Morning,Weekday,3.0,Medium,Clear,3.06,0.51,0.43,71.29,38.447500000000005
14.65,Afternoon,Weekday,4.0,Medium,Clear,4.17,0.8,0.5,96.08,63.93
9.67,Morning,Weekend,4.0,Medium,Clear,2.96,1.94,0.26,42.3,32.7178
5.35,,Weekday,1.0,Low,Clear,4.72,1.42,0.12,87.36,22.8002
6.91,Morning,Weekday,3.0,Low,Clear,2.38,0.89,0.42,20.57,17.1693
23.58,Afternoon,Weekday,2.0,Medium,Clear,2.54,0.6,0.34,38.5,29.778
11.11,Morning,Weekday,1.0,,,3.48,0.54,0.18,21.64,13.374600000000001
18.85,,Weekday,3.0,Low,Clear,2.25,0.87,0.3,98.29,48.1365
25.67,Morning,Weekend,3.0,High,,2.59,1.82,0.4,30.6,61.54940000000001
34.83,Afternoon,Weekday,3.0,Medium,Snow,4.83,1.12,0.41,87.5,79.71459999999999
2.93,Evening,Weekend,2.0,Medium,Snow,4.93,1.58,0.3,113.48,43.60339999999999
40.17,Afternoon,Weekday,2.0,Medium,Rain,3.13,1.88,0.22,65.69,93.1014
31.77,Afternoon,Weekday,4.0,Low,Clear,4.77,1.11,0.49,67.1,72.9137
